ID,year,test,theme,subtheme,portuguese,spanish,english,tagalog,answer,french
1,2022,Teórica I,Anatomia,cornea,"Em qual região ocular células caliciformes são fisiologicamente encontradas?
a)Córnea.
b)Limbo corneoescleral.
c)Linha cinzenta.
d)Prega semilunar.","¿En qué región ocular se encuentran fisiológicamente las células caliciformes?
a) córnea.
b) Limbus corneoscleral.
c) Línea gris.
d) Pliegue semilunar.","In which ocular region are caliciform cells physiologically found?
a) Cornea.
b) Corneoscleral limbus.
c) Gray line.
d) Semilunar fold.","Aling bahagi ng mata ay kung saan matatagpuan ang mga caliciform cells?
a) Cornea.
b) Corneoscleral limbus.
c) Grey line.
d) Semilunar fold.",D,"Dans quelle région oculaire trouve-t-on physiologiquement des cellules caliciformes ?
a) Cornée.
b) Limbes cornéoscléral.
c) Ligne grise.
d) Repli semi-lunaire."
2,2022,Teórica I,Anatomia,retina,"Assinale a alternativa que melhor correlaciona as características histológicas com os respectivos tecidos oculares:

I. Monocamada de células fortemente unidas por complexos juncionais.
II. Estriações paralelas e regulares observadas à microscopia óptica, perpendiculares ao epitélio.
III. Contém células bipolares, células amácrinas, células horizontais e células de Muller.
IV. Contém células magnocelulares, parvocelulares e coniocelulares.

A. Fotorreceptores.
B. Epitélio pigmentado da pigmentado da retina.
C. Camada ganglionar retiniana.
D. Camada nuclear interna.

a) I: A, II: C; III: D; IV: B.
b) I: B; II:A; III: D; IV: C.
c) I: B; II: A; III: C; IV: C.
d) I: C; II: A; III: D; IV: B.","Marque la alternativa que mejor correlaciona las características histológicas con los respectivos tejidos oculares:

I. Monocapa de células estrechamente unidas por complejos de unión.
II.Las estrías paralelas y regulares observadas bajo microscopía óptica, perpendicular al epitelio.
Iii.Contiene células bipolares, células amacrinas, células horizontales y células Muller.
IV.Contiene células magnocelulares, parvocelulares y coniocelulares.

A. Fotorreceptores.
B. Epitelio pigmentado de la retina.
C. Capa ganglionar de la retina.
D. Capa nuclear interna.

a) I: A, II: C; III: D; IV: B.
b) I: B; II:A; III: D; IV: C.
c) I: B; II: A; III: C; IV: C.
d) I: C; II: A; III: D; IV: B.","Mark the alternative that best correlates the histological characteristics with the respective ocular tissues:

I. Monolayer of cells tightly joined together by junctional complexes.
II. Parallel and regular striations observed under optical microscopy, perpendicular to the epithelium.
III. It contains bipolar cells, amacrine cells, horizontal cells and Muller cells.
IV. It contains magnocellular, parvocellular and coniocellular cells.

A. Photoreceptors.
B. Retinal pigmented epithelium.
C. Retinal ganglionic layer.
D. Inner nuclear layer.

a) I: A, II: C; III: D; IV: B.
b) I: B; II:A; III: D; IV: C.
c) I: B; II: A; III: C; IV: C.
d) I: C; II: A; III: D; IV: B.","Ipagpares ang bahagi ng retina sa Hanay B sa tamang paglalarawan ng itong mga katangian sa Hanay A.

I. Isang hanay ng mga cells na mahigpit na pinagsasama-sama ng mga junctional complexes
II. Pantay at regular na mga hanay ng cells, tadlong sa epithelium
III. May iba't ibang klaseng cells ito, katulad ng bipolar cells, amacrine cells, horizontal cells, at Muller cells.
IV. Mayroon ito ng magnocellular, parvocellular, at coniocellular cells.

A. Photoreceptors.
B. Retinal pigment epithelium.
C. Retinal ganglionic layer.
D. Inner Nuclear Layer.

a) I: A, II: C; III: D; IV: B.
b) I: B; II:A; III: D; IV: C.
c) I: B; II: A; III: C; IV: C.
d) I: C; II: A; III: D; IV: B.",B,"Marquez l'alternative qui corrèle le mieux les caractéristiques histologiques avec les tissus oculaires respectifs :

I. Couche monocellulaire de cellules étroitement jointes par des complexes jonctionnels.
II. Striations parallèles et régulières observées en microscopie optique, perpendiculaires à l'épithélium.
III. Contient des cellules bipolaires, des cellules amacrines, des cellules horizontales et des cellules de Muller.
IV. Contient des cellules magnocellulaires, parvocellulaires et coniocellulaires.

A. Photorécepteurs.
B. Épithélium pigmentaire rétinien.
C. Couche ganglionnaire rétinienne.
D. Couche nucléaire interne.

a) I: A, II: C; III: D; IV: B.
b) I: B; II:A; III: D; IV: C.
c) I: B; II: A; III: C; IV: C.
d) I: C; II: A; III: D; IV: B."
3,2022,Teórica I,Anatomia,cornea,"Ordene as três denominações celulares encontradas no epitélio da córnea, iniciando pelo mais superficial, seguido do intermediário e do profundo.
a)Plana, alada, basal.
b)Alada, basal, plana.
c)Basal, plana, alada.
d)Alada, plana, basal.","Ordene los tres nombres de células que se encuentran en el epitelio corneal, comenzando con el má superficial, seguidos por el intermedio y lo profundo.
a) Plana, alada, basal.
b) Alada, basal, plana.
c) Basal, plana, alada.
d) Alada, plana, basal.","Order the three cell names found in the corneal epithelium, starting with the most superficial, followed by the intermediate and the deep.
a) Flat, wing, basal.
b) Wing, basal, flat.
c) Basal, flat, wing.
d) Wing, flat, basal.","Ipagsunud-sunod ang mga cells ng corneal epithelium, mula sa pinakamababaw hanggang sa pinakamalalim.
a) Flat, wing, basal.
b) Wing, basal, flat.
c) Basal, flat, wing.
d) Wing, flat, basal.",A,"Classez les trois noms de cellules trouvés dans l'épithélium cornéen, en commençant par le plus superficiel, suivi de l'intermédiaire et du profond.
a) Plates, ailes, basales.
b) Ailes, basales, plates.
c) Basales, plates, ailes.
d) Ailes, plates, basales."
4,2022,Teórica I,Anatomia,cornea,"Sobre a membrana de Descemet da córnea, é correto afirmar:
a)As células endoteliais não participam da sua formação.
b)Sua espessura no adulto é de cerca de 30 µm.
c)Sua porção mais anterior é de origem embrionária.
d)Sua espessura reduz-se com a idade.","Con respecto a la membrana de la córnea de Descemet, es correcto declarar:
a) Las células endoteliales no participan en su formación.
b) Su grosor en el adulto es de aproximadamente 30 µm.
c) Su porción más anterior es de origen embrionario.
d) Su grosor se reduce con la edad.","Regarding Descemet's membrane of the cornea, it is correct to state:
a) Endothelial cells do not participate in its formation.
b) Its thickness in the adult is about 30 µm.
c) Its most anterior portion is of embryonic origin.
d) Its thickness reduces with age.","Tama tungkol sa Descemet's membrane ng cornea:
a) Ang mga endothelial cells ay hindi nakikilahok sa pagbuo nito.
b) Ang kapal nito ay halos 30 µm.
c) Ang pinakaharap na bahagi ng Descemet's membrane ay nagmumula sa embryo.
d) Kapag tumatanda, mas numinipis ang Descemet's membrane.",C,"Concernant la membrane de Descemet de la cornée, il est correct de dire :
a) Les cellules endothéliales ne participent pas à sa formation.
b) Son épaisseur chez l'adulte est d'environ 30 µm.
c) Sa partie la plus antérieure est d'origine embryonnaire.
d) Son épaisseur diminue avec l'âge."
5,2022,Teórica I,Anatomia,cornea,"Sobre a camada lipídica do filme lacrimal, assinale a alternativa correta. 
a)Tem por propósito básico estabilizar o filme e é secretada pelas glândulas de Meibomius e de Manz.  
b)Ésteres de colesterol estão entre seus componentes e uma de suas funções é retardar a evaporação do filme lacrimal. 
c)Na disfunção das glândulas de Meibomius, o ponto de fusão de sua secreção diminui, colaborando para a estagnação dessas substâncias. 
d)Pode ser avaliada pelo tempo de ruptura do filme lacrimal, permanecendo intacta por menos de cinco segundos em olhos saudáveis.","Respecto a la capa lipídica de la película lagrimal, seleccionar la alternativa correcta.
a) Su finalidad básica es estabilizar la película y es secretada por las glándulas de Meibomio y Manz.
b) Entre sus componentes se encuentran los ésteres de colesterol y una de sus funciones es retrasar la evaporación de la película lagrimal.
c) En la disfunción de las glándulas de Meibomio, el punto de fusión de su secreción disminuye, contribuyendo al estancamiento de estas sustancias.
d) Puede valorarse por el tiempo de ruptura de la película lagrimal, permaneciendo intacta menos de cinco segundos en ojos sanos.","About the lipidic layer of the lacrimal film, choose the right answer. 
a) its purpose is to stabilize the lacrimal film secreted by the meibomian and manz glans.
b) Cholesterol esters are within its components, and one of the functions is to delay the lacrimal film evaporation. 
c) In meibomian gland dysfunction, the fusion point decrease, leading to stagnation.
d) can be evaluated by the lacrimal film break up time, keeping intact less than five seconds in healthy eyes.","Piliin ang tamang sagot tungkol sa lipid layer ng lacrimal film.
a) Ang lipidic layer ay nagpapatag ng lacrimal film na nanggagaling sa meibomian at manz glands.
b) May laman itong mga cholesterol esters na nakakatulong sa pagbabagal ng pagtuyo ng luha.
c) Kapag nagkakaroon ng meibomian gland dysfunction, bumababa ang fusion point na nagpapahinto ng produksyon ng lipid.
d) Nasusuri ito gamit ang lacrial film break up time, kung saan ay walang lacrimal film break up hanggang 5 na segundo sa normal na mata.",B,"À propos de la couche lipidique du film lacrymal, choisissez la bonne réponse.
a) Son but est de stabiliser le film lacrymal sécrété par les glandes de Meibomius et de Manz.
b) Les esters de cholestérol font partie de ses composants, et l'une de ses fonctions est de retarder l'évaporation du film lacrymal.
c) En cas de dysfonctionnement de la glande de Meibomius, le point de fusion diminue, entraînant une stagnation.
d) Peut être évaluée par le temps de rupture du film lacrymal, restant intacte moins de cinq secondes dans des yeux sains."
6,2022,Teórica I,Anatomia,strabism,"Sobre os músculos oculares externos, assinale a alternativa correta.
a)Na lei de Hering, a inervação se distribui igualmente para os músculos agonista e antagonista, para determinada versão.
b)Os movimentos persecutórios se dão automaticamente, de maneira lenta, ao deslocamento do ponto de fixação.
c)Na lei de Sherrington, o estímulo de contração é distribuído entre os agonistas de ambos os olhos, para que ela ocorra simetricamente.
d)Os movimentos sacádicos são caracterizados por movimentos bruscos, descoordenados, de natureza totalmente reflexa.","En cuanto a los músculos externos del ojo, seleccione la alternativa correcta.
a) En la ley de Hering, la inervación se distribuye por igual entre los músculos agonistas y antagonistas, para una versión determinada.
b) Los movimientos de seguimiento se producen de forma automática, lenta, moviendo el punto de fijación.
c) En la ley de Sherrington, el estímulo de la contracción se distribuye entre los agonistas de ambos ojos, de modo que se produce de forma simétrica.
d) Los movimientos sacádicos se caracterizan por movimientos bruscos, descoordinados y de carácter totalmente reflejo.","Regarding the external ocular muscles, choose the correct answer. 
a) in the Hering's law, the innervation is equally distributed to the agosist and antagonist muscles, for a given ocular version. 
b) The persecutory movements will automatically occur, slowly, with the displacement of the fixation point.
c) In the sherrington's law, the contraction stimulus is distributed between the agonists of both eyes, so that it occur symmetrically. 
d) Saccadic movements are characterized by abrupt, uncoordinated, reflex movments.","Alin sa mga sumusunod ang tama tungkol sa mga extraocular muscles?
a) Sa Hering's Law, ang stimulation na nakukuha ng isang ugat ay pantay sa agonist at antagonist muscles papunta sa isang ocular version.
b) Ang persecutory movements ay kusang nangyayari, kung saan nag-iiba ang fixation point.
c) Inilalahad ng Sherrington's Law na ang agonist muscle sa kaliwa't kanang mata ay makakakuha ng pantay na stimulus mula sa utak.
d) Inilalarawan ang saccadic movements na matarik, hindi tugma, at bilang isang reflex movement.",B,"Concernant les muscles oculaires externes, choisissez la bonne réponse.
a) Selon la loi de Hering, l'innervation est également distribuée aux muscles agonistes et antagonistes, pour une version oculaire donnée.
b) Les mouvements de poursuite se produiront automatiquement, lentement, avec le déplacement du point de fixation.
c) Selon la loi de Sherrington, le stimulus de contraction est distribué entre les agonistes des deux yeux, de manière à ce qu'il se produise symétriquement.
d) Les mouvements saccadiques sont caractérisés par des mouvements réflexes brusques, non coordonnés."
7,2022,Teórica I,Anatomia,cornea,"Sobre a córnea, é correto afirmar:
a)A disposição das fibrilas de colágeno corneanas não tem relação com a sua transparência.
b)Pleomorfismo das células endoteliais é caracterizado pela variação do tamanho dessas células.
c)As células do estroma anterior possuem grande quantidade de mitocôndrias, responsáveis pela produção de energia que supre a bomba endotelial.
d)O endotélio comporta-se como uma barreira permeável não-seletiva entre o humor aquoso e a substância própria.","Sobre la córnea, es correcto decir:
a) La disposición de las fibrillas de colágeno corneal no está relacionado con su transparencia.
b) El pleomorfismo de las células endoteliales se caracteriza por el tamaño de estas células.
c) Las células de estoma anteriores tienen una gran cantidad de mitocondrias, responsables de la producción de energía que suministra la bomba endotelial.
d) El endotelio se comporta como una barrera permeable no selectiva entre el humor acuoso y su propia sustancia.","About the cornea, it is correct to state. 
a) The arrangement of corneal collagen fibrils is unrelated to its transparency. 
b) Pleomorphism of endothelial cells is characterized by the variation in the size of these cells. 
c) anterior stroma have a large number of mitochondria, responsible for the production of energy that supplies the endothelial pump. 
d) The endothelium behaves as a permeable non-selective barrier between the aqueous humor and the substantia propria.","Alin sa mga sumusunod ang tama tungkol sa cornea?
a) Ang pag-aayos ng corneal collagen fibrils ay walang kaugnayan sa pagiging transparent nito.
b) Ang pleomorphism ng mga endothelial cells ay nailalarawan sa pagkakaiba sa laki ng mga cell.
c) Maraming mitochondria ang mga cell ng anterior stroma. Sila ay responsable para sa paggawa ng enerhiya para sa endothelial pump.
d) Ang endothelium ay isang permeable non-selective barrier sa gitna ng aqueous humor at substantia propria.",D,"À propos de la cornée, il est correct de déclarer :
a) L'arrangement des fibrilles de collagène de la cornée n'est pas lié à sa transparence.
b) Le pléomorphisme des cellules endothéliales est caractérisé par la variation de la taille de ces cellules.
c) Le stroma antérieur contient un grand nombre de mitochondries, responsables de la production d'énergie qui alimente la pompe endothéliale.
d) L'endothélium se comporte comme une barrière perméable non sélective entre l'humeur aqueuse et la substance propre."
8,2022,Teórica I,Anatomia,strabism,"Assinale a alternativa que preenche corretamente as lacunas. A levocicloversão corresponde a ____________ do olho direito e ________ do olho esquerdo e é desencadeada quando se inclina a cabeça para o ombro___________.
a)Exciclodução / inciclodução / esquerdo.
b)Inciclodução / exciclodução / esquerdo.
c)Exciclodução / inciclodução / direito.
d)Inciclodução / exciclodução / direito.","Elija la alternativa que llena correctamente los vacíos.La levocicloversión corresponde a ____________ del ojo derecho y ________ del ojo izquierdo y se activa cuando la cabeza está inclinada hacia el hombro___________.
a) Excicloducción / incicloducción / izquierdo.
b) incicloducción / excicloducción / izquierdo.
c) Excicloducción / incicloducción / derecho.
d) Incalducción / excicloducción / derecho.","Choose the alternative that correctly fills in the gaps. Levocycloversion corresponds to ____________ of the right eye and ________ of the left eye and is triggered when the head is tilted towards the ___ shoulder.
a) Excicloduction / incicloduction / left.
b) Incicloduction / excicloduction / left.
c) Excicloduction / incicloduction / right.
d) Incicloduction / excicloduction / right.","Piliin ang tamang sagot: Ang levocycloversion ay tumutugma sa ____________ ng kanang mata at ________ ng kaliwang mata. Napapasimuno ito kapag pinaikot ang ulo sa ____ na balikat.
a) Excicloduction / incicloduction / kaliwa
b) incicloduction / excicloduction / kaliwa
c) Excicloduction / incicloduction / kanan
d) incicloduction / excicloduction / kanan",D,"Choisissez l'alternative qui remplit correctement les lacunes. La levocycloversion correspond à ____________ de l'œil droit et ________ de l'œil gauche et est déclenchée lorsque la tête est inclinée vers l'épaule ___.
a) Excicloduction / incicloduction / gauche.
b) Incicloduction / excicloduction / gauche.
c) Excicloduction / incicloduction / droite.
d) Incicloduction / excicloduction / droite."
9,2022,Teórica I,Anatomia,retina,"Com relação às células do corpo vítreo, assinale a alternativa correta.
a)São mais numerosos no adulto, comparativamente às do vítreo embrionário.
b)São representadas principalmente por linfócitos e neutrófilos maduros.
c)São abundantes na região da base vítrea.
d)Estão ausentes no recém-nascido.","Con respecto a las células del cuerpo vítreo, marque la alternativa correcta.
a) Son más numerosas en el adulto que en el vítreo embrionario.
b) Están representadas principalmente por linfocitos y neutrófilos maduros.
c) Son abundantes en la región de la base vítrea.
d) Están ausentes en el recién nacido.","Regarding the vitreous body cells, mark the correct alternative.
a) They are more numerous in the adult than in the embryonic vitreous.
b) They are mainly represented by lymphocytes and mature neutrophils.
c) They are abundant in the region of the vitreous base.
d) They are absent in the newborn.","Alin ang tama tungkol sa mga vitreous cells?
a) Mas marami ang vitreous cells sa matatanda kumpara sa isang embryo.
b) Karamihan sa mga cell na matatagpo sa vitreous ay lymphocytes at mature neutrophils.
c) Sila ay sagana sa rehiyon ng vitreous base.
d) Walang vitreous cells na matatagpo sa mga bagong panganak.",C,"Concernant les cellules du corps vitré, cochez l'alternative correcte.
a) Elles sont plus nombreuses chez l'adulte que dans le vitré embryonnaire.
b) Elles sont principalement représentées par des lymphocytes et des neutrophiles matures.
c) Elles sont abondantes dans la région de la base du vitré.
d) Elles sont absentes chez le nouveau-né."
10,2022,Teórica I,Anatomia,strabism,"Com relação à fisiologia dos músculos oculomotores, assinale a alternativa correta.
a)A contração muscular independe da disponibilidade de cálcio.
b)A fibra muscular é uma célula multinucleada.
c)Cada contração muscular é resultado de um ciclo único de formação e destruição de pontes de actina-miosina.
d)O relaxamento muscular depende principalmente da disponibilidade de sódio.","Con respecto a la fisiología de los músculos oculomotores, marque la alternativa correcta.
a) La contracción muscular es independiente de la disponibilidad de calcio.
b) La fibra muscular es una célula multinucleada.
c) Cada contracción muscular es el resultado de un ciclo único de formación y destrucción de los puentes de actina-miosina.
d) La relajación muscular depende principalmente de la disponibilidad de sodio.","Regarding the physiology of the oculomotor muscles, mark the correct alternative.
a) Muscle contraction is independent of calcium availability.
b) The muscle fiber is a multinucleated cell.
c) Each muscle contraction is the result of a unique cycle of formation and destruction of actin-myosin bridges.
d) Muscle relaxation rely mainly on sodium availability.","Alin sa mga sumusunod ang tama tungkol sa pisyolohiya ng mga extraocular muscles?
a) Ang paggalaw ng mga extraocular muscle ay hindi nagdedepende sa karamihan ng calcium sa katawan.
b) Ang muscle fiber ay may maraming nucleus.
c) Ang bawat muscle contraction ay resulta ng panibagong pagbuo at pagkasira ng mga actin-myosin bridges.
d) Ang pagpahinga ng mga oculomotor muscle ay nagdedepende sa karamihan ng sodium sa katawan.",B,"Concernant la physiologie des muscles oculomoteurs, cochez l'alternative correcte.
a) La contraction musculaire est indépendante de la disponibilité du calcium.
b) La fibre musculaire est une cellule multinucléée.
c) Chaque contraction musculaire est le résultat d'un cycle unique de formation et de destruction des ponts actine-myosine.
d) La relaxation musculaire dépend principalement de la disponibilité du sodium."
