ID,year,test,theme,subtheme,portuguese,spanish,english,tagalog,answer,responses_portuguese_0,responses_portuguese_1,responses_portuguese_2,responses_portuguese_3,responses_portuguese_4,responses_portuguese_5,responses_portuguese_6,responses_portuguese_7,responses_portuguese_8,responses_portuguese_9,responses_portuguese_10,responses_spanish_0,responses_spanish_1,responses_spanish_2,responses_spanish_3,responses_spanish_4,responses_spanish_5,responses_spanish_6,responses_spanish_7,responses_spanish_8,responses_spanish_9,responses_spanish_10,responses_english_0,responses_english_1,responses_english_2,responses_english_3,responses_english_4,responses_english_5,responses_english_6,responses_english_7,responses_english_8,responses_english_9,responses_english_10,responses_tagalog_0,responses_tagalog_1,responses_tagalog_2,responses_tagalog_3,responses_tagalog_4,responses_tagalog_5,responses_tagalog_6,responses_tagalog_7,responses_tagalog_8,responses_tagalog_9,responses_tagalog_10
1,2022,Teórica I,Anatomia,cornea,"Em qual região ocular células caliciformes são fisiologicamente encontradas?
a)Córnea.
b)Limbo corneoescleral.
c)Linha cinzenta.
d)Prega semilunar.","¿En qué región ocular se encuentran fisiológicamente las células caliciformes?
a) córnea.
b) Limbus corneoscleral.
c) Línea gris.
d) Pliegue semilunar.","In which ocular region are caliciform cells physiologically found?
a) Cornea.
b) Corneoscleral limbus.
c) Gray line.
d) Semilunar fold.","Saang ocular region ay matatagpuan ang mga caliciform cells?
a) Cornea.
b) Corneoscleral limbus.
c) Grey line.
d) Semilunar fold.",D,a,a,a,c,a,A,c,a,A,a,a,a,b,A,c,A,b,a,a,a,b,a,b,a,b,d,c,c,b,b,b,b,d,a,a,a,a,a,a,a,a,a,A,A
2,2022,Teórica I,Anatomia,retina,"Assinale a alternativa que melhor correlaciona as características histológicas com os respectivos tecidos oculares:

I. Monocamada de células fortemente unidas por complexos juncionais.
II. Estriações paralelas e regulares observadas à microscopia óptica, perpendiculares ao epitélio.
III. Contém células bipolares, células amácrinas, células horizontais e células de Muller.
IV. Contém células magnocelulares, parvocelulares e coniocelulares.

A. Fotorreceptores.
B. Epitélio pigmentado da pigmentado da retina.
C. Camada ganglionar retiniana.
D. Camada nuclear interna.

a) I: A, II: C; III: D; IV: B.
b) I: B; II:A; III: D; IV: C.
c) I: B; II: A; III: C; IV: C.
d) I: C; II: A; III: D; IV: B.","Marque la alternativa que mejor correlaciona las características histológicas con los respectivos tejidos oculares:

I. Monocapa de células estrechamente unidas por complejos de unión.
II.Las estrías paralelas y regulares observadas bajo microscopía óptica, perpendicular al epitelio.
Iii.Contiene células bipolares, células amacrinas, células horizontales y células Muller.
IV.Contiene células magnocelulares, parvocelulares y coniocelulares.

A. Fotorreceptores.
B. Epitelio pigmentado de la retina.
C. Capa ganglionar de la retina.
D. Capa nuclear interna.

a) I: A, II: C; III: D; IV: B.
b) I: B; II:A; III: D; IV: C.
c) I: B; II: A; III: C; IV: C.
d) I: C; II: A; III: D; IV: B.","Mark the alternative that best correlates the histological characteristics with the respective ocular tissues:

I. Monolayer of cells tightly joined together by junctional complexes.
II. Parallel and regular striations observed under optical microscopy, perpendicular to the epithelium.
III. It contains bipolar cells, amacrine cells, horizontal cells and Muller cells.
IV. It contains magnocellular, parvocellular and coniocellular cells.

A. Photoreceptors.
B. Retinal pigmented epithelium.
C. Retinal ganglionic layer.
D. Inner nuclear layer.

a) I: A, II: C; III: D; IV: B.
b) I: B; II:A; III: D; IV: C.
c) I: B; II: A; III: C; IV: C.
d) I: C; II: A; III: D; IV: B.","Markahan ang kahalili na pinakamahusay na nakakaugnay sa mga katangian ng histological na may kani -kanilang mga ocular na tisyu:

I. Ang Monolayer ng mga cell ay mahigpit na sumali sa pamamagitan ng mga junctional complex.
Ii.Parallel at regular na mga striations na sinusunod sa ilalim ng optical mikroskopya, patayo sa epithelium.
III.Naglalaman ito ng mga cell ng bipolar, mga cell ng amacrine, mga pahalang na cell at mga cell ng muller.
Iv.Naglalaman ito ng magnocellular, parvocellular at coniocellular cells.

A. Photoreceptors.
B. retinal pigment epithelium.
C. retinal ganglionic layer.
D. Inner Nuclear Layer.

a) I: A, II: C; III: D; IV: B.
b) I: B; II:A; III: D; IV: C.
c) I: B; II: A; III: C; IV: C.
d) I: C; II: A; III: D; IV: B.",B,a,a,a,b,a,b,a,a,a,a,d,b,a,a,b,a,d,a,a,a,a,a,a,e,a,b,a,a,a,b,a,a,d,a,a,a,c,b,b,c,b,"a) I: A, II: C; III: D; IV: B.",c,c
3,2022,Teórica I,Anatomia,cornea,"Ordene as três denominações celulares encontradas no epitélio da córnea, iniciando pelo mais superficial, seguido do intermediário e do profundo.
a)Plana, alada, basal.
b)Alada, basal, plana.
c)Basal, plana, alada.
d)Alada, plana, basal.","Ordene los tres nombres de células que se encuentran en el epitelio corneal, comenzando con el má superficial, seguidos por el intermedio y lo profundo.
a) Plana, alada, basal.
b) Alada, basal, plana.
c) Basal, plana, alada.
d) Alada, plana, basal.","Order the three cell names found in the corneal epithelium, starting with the most superficial, followed by the intermediate and the deep.
a) Flat, wing, basal.
b) wing, basal, flat.
c) Basal, flat, wing.
d) wing, flat, basal.","Mag -order ng tatlong mga pangalan ng cell na matatagpuan sa corneal epithelium, na nagsisimula sa pinaka mababaw, na sinusundan ng intermediate at malalim.
a) Flat, wing, basal.
b) wing, basal, flat.
c) Basal, flat, wing.
d) wing, flat, basal.",A,A,c,b,a,d,a,a,A,a,a,a,a,a,d,a,c,a,a,A,A,a,a,a,c,A,A,a,a,a,A,a,a,A,"wing, flat, basal.",d,A,a,a,a,a,c,b,b,A
4,2022,Teórica I,Anatomia,cornea,"Sobre a membrana de Descemet da córnea, é correto afirmar:
a)As células endoteliais não participam da sua formação.
b)Sua espessura no adulto é de cerca de 30 µm.
c)Sua porção mais anterior é de origem embrionária.
d)Sua espessura reduz-se com a idade.","Con respecto a la membrana de la córnea de Descemet, es correcto declarar:
a) Las células endoteliales no participan en su formación.
b) Su grosor en el adulto es de aproximadamente 30 µm.
c) Su porción más anterior es de origen embrionario.
d) Su grosor se reduce con la edad.","Regarding Descemet's membrane of the cornea, it is correct to state:
a) Endothelial cells do not participate in its formation.
b) Its thickness in the adult is about 30 µm.
c) Its most anterior portion is of embryonic origin.
d) Its thickness reduces with age.","Tungkol sa lamad ni Descemet ng kornea, tama itong sabihin:
a) Ang mga endothelial cells ay hindi nakikilahok sa pagbuo nito.
b) Ang kapal nito sa may sapat na gulang ay halos 30 µm.
c) ang pinaka -nauuna na bahagi nito ay mula sa embryonic na pinagmulan.
d) Ang kapal nito ay binabawasan sa edad.",C,b,b,b,c,b,b,d,a,b,a,B,b,b,a,b,a) Las células endoteliales no participan en su formación.,a,a,a,b,a,b,c,d,c,A,B,a,a,a,a,c,a,a,a,A,c,b,E,B,a,C,a,a
5,2022,Teórica I,Anatomia,cornea,"Sobre a camada lipídica do filme lacrimal, assinale a alternativa correta. 
a)Tem por propósito básico estabilizar o filme e é secretada pelas glândulas de Meibomius e de Manz.  
b)Ésteres de colesterol estão entre seus componentes e uma de suas funções é retardar a evaporação do filme lacrimal. 
c)Na disfunção das glândulas de Meibomius, o ponto de fusão de sua secreção diminui, colaborando para a estagnação dessas substâncias. 
d)Pode ser avaliada pelo tempo de ruptura do filme lacrimal, permanecendo intacta por menos de cinco segundos em olhos saudáveis.","Respecto a la capa lipídica de la película lagrimal, seleccionar la alternativa correcta.
a) Su finalidad básica es estabilizar la película y es secretada por las glándulas de Meibomio y Manz.
b) Entre sus componentes se encuentran los ésteres de colesterol y una de sus funciones es retrasar la evaporación de la película lagrimal.
c) En la disfunción de las glándulas de Meibomio, el punto de fusión de su secreción disminuye, contribuyendo al estancamiento de estas sustancias.
d) Puede valorarse por el tiempo de ruptura de la película lagrimal, permaneciendo intacta menos de cinco segundos en ojos sanos.","About the lipidic layer of the lacrimal film, choose the right answer. 
a) its purpose is to stabilize the lacrimal film secreted by the meibomian and manz glans.
b) Cholesterol esters are within its components, and one of the functions is to delay the lacrimal film evaporation. 
c) In meibomian gland dysfunction, the fusion point decrease, leading to stagnation.
d) can be evaluated by the lacrimal film break up time, keeping intact less than five seconds in healthy eyes.","Tungkol sa lipidic layer ng lacrimal film, piliin ang tamang sagot.
a) Ang layunin nito ay upang patatagin ang lacrimal film na na -sikreto ng Meibomian at Manz Glans.
b) Ang mga ester ng kolesterol ay nasa loob ng mga sangkap nito, at ang isa sa mga pag -andar ay upang maantala ang pagsingaw ng lacrimal film.
c) Sa meibomian gland dysfunction, ang pagbaba ng punto ng pagsasanib, na humahantong sa pagwawalang -kilos.
d) Maaaring masuri ng oras ng lacrimal film break up time, na pinapanatili ang buo na mas mababa sa limang segundo sa malusog na mga mata.",B,a,a,b,A,a,C,a,c,b,b,A,a,A,c,a,A,A,a,b,A,A,b,a,A,A,b,a,a,b,a,A,b,b,a,e,a,a,b,b,a,a,A,a,a
6,2022,Teórica I,Anatomia,strabism,"Sobre os músculos oculares externos, assinale a alternativa correta.
a)Na lei de Hering, a inervação se distribui igualmente para os músculos agonista e antagonista, para determinada versão.
b)Os movimentos persecutórios se dão automaticamente, de maneira lenta, ao deslocamento do ponto de fixação.
c)Na lei de Sherrington, o estímulo de contração é distribuído entre os agonistas de ambos os olhos, para que ela ocorra simetricamente.
d)Os movimentos sacádicos são caracterizados por movimentos bruscos, descoordenados, de natureza totalmente reflexa.","En cuanto a los músculos externos del ojo, seleccione la alternativa correcta.
a) En la ley de Hering, la inervación se distribuye por igual entre los músculos agonistas y antagonistas, para una versión determinada.
b) Los movimientos de seguimiento se producen de forma automática, lenta, moviendo el punto de fijación.
c) En la ley de Sherrington, el estímulo de la contracción se distribuye entre los agonistas de ambos ojos, de modo que se produce de forma simétrica.
d) Los movimientos sacádicos se caracterizan por movimientos bruscos, descoordinados y de carácter totalmente reflejo.","Regarding the external ocular muscles, choose the correct answer. 
a) in the Hering's law, the innervation is equally distributed to the agosist and antagonist muscles, for a given ocular version. 
b) The persecutory movements will automatically occur, slowly, with the displacement of the fixation point.
c) In the sherrington's law, the contraction stimulus is distributed between the agonists of both eyes, so that it occur symmetrically. 
d) Saccadic movements are characterized by abrupq, uncoordinated, reflex movments.","Tungkol sa mga panlabas na kalamnan ng ocular, piliin ang tamang sagot.
a) Sa batas ng hering, ang panloob ay pantay na ipinamamahagi sa mga kalamnan ng agosist at antagonist, para sa isang naibigay na bersyon ng ocular.
b) Ang mga paggalaw ng pag -uusig ay awtomatikong magaganap, dahan -dahan, kasama ang pag -aalis ng punto ng pag -aayos.
c) Sa batas ng Sherrington, ang pag -urong ng pag -urong ay ipinamamahagi sa pagitan ng mga agonist ng parehong mga mata, upang mangyari ito nang simetriko.
d) Ang mga paggalaw ng Saccadic ay nailalarawan sa pamamagitan ng abrupq, uncoordinated, reflex movment.",B,A,c,a,c,A,c,a,a,A,b,a,c,a,a,a,a,a,a,c,a,a,a,b,A,a,b,D,a,A,c,A,a,a,a,c,b,a,a,b,d,d,d,a,a
7,2022,Teórica I,Anatomia,cornea,"Sobre a córnea, é correto afirmar:
a)A disposição das fibrilas de colágeno corneanas não tem relação com a sua transparência.
b)Pleomorfismo das células endoteliais é caracterizado pela variação do tamanho dessas células.
c)As células do estroma anterior possuem grande quantidade de mitocôndrias, responsáveis pela produção de energia que supre a bomba endotelial.
d)O endotélio comporta-se como uma barreira permeável não-seletiva entre o humor aquoso e a substância própria.","Sobre la córnea, es correcto decir:
a) La disposición de las fibrillas de colágeno corneal no está relacionado con su transparencia.
b) El pleomorfismo de las células endoteliales se caracteriza por el tamaño de estas células.
c) Las células de estoma anteriores tienen una gran cantidad de mitocondrias, responsables de la producción de energía que suministra la bomba endotelial.
d) El endotelio se comporta como una barrera permeable no selectiva entre el humor acuoso y su propia sustancia.","About the cornea, it is correct to state. 
a) The arrangement of corneal collagen fibrils is unrelated to its transparency. 
b) Pleomorphism of endothelial cells is characterized by the variation in the size of these cells. 
c) anterior stroma have a large number of mitochondria, responsible for the production of energy that supplies the endothelial pump. 
d) The endothelium behaves as a permeable non-selective barrier between the aqueous humor and the substantia propria.","Tungkol sa kornea, tama ito upang sabihin.
a) Ang pag -aayos ng corneal collagen fibrils ay walang kaugnayan sa transparency nito.
b) Ang pleomorphism ng mga endothelial cells ay nailalarawan sa pagkakaiba -iba sa laki ng mga cell na ito.
c) Ang anterior stroma ay may malaking bilang ng mitochondria, na responsable para sa paggawa ng enerhiya na nagbibigay ng endothelial pump.
d) Ang endothelium ay kumikilos bilang isang permeable na hindi pumipili na hadlang sa pagitan ng may tubig na katatawanan at ang substantia propria.",D,a,d,c,A,b,a,A,c,A,a,a,b,b,c,A,A,B,c,C,b,A,C,b,C,A,A,d,D,a,d,A,a,D,a,b,a,c,d,b,b,a,b,c,a
8,2022,Teórica I,Anatomia,strabism,"Assinale a alternativa que preenche corretamente as lacunas. A levocicloversão corresponde a ____________ do olho direito e ________ do olho esquerdo e é desencadeada quando se inclina a cabeça para o ombro___________.
a)Exciclodução / inciclodução / esquerdo.
b)Inciclodução / exciclodução / esquerdo.
c)Exciclodução / inciclodução / direito.
d)Inciclodução / exciclodução / direito.","Elija la alternativa que llena correctamente los vacíos.La levocicloversión corresponde a ____________ del ojo derecho y ________ del ojo izquierdo y se activa cuando la cabeza está inclinada hacia el hombro___________.
a) Excicloducción / incicloducción / izquierdo.
b) incicloducción / excicloducción / izquierdo.
c) Excicloducción / incicloducción / derecho.
d) Incalducción / excicloducción / derecho.","Choose the alternative that correctly fills in the gaps. Levocycloversion corresponds to ____________ of the right eye and ________ of the left eye and is triggered when the head is tilted towards the shoulder___________.
a) Excicloduction / incicloduction / left.
b) Incicloduction / excicloduction / left.
c) Excicloduction / incicloduction / right.
d) Incicloduction / excicloduction / right.","Piliin ang kahalili na tama na pumupuno sa mga gaps.Ang Levocycloversion ay tumutugma sa ____________ ng kanang mata at ________ ng kaliwang mata at na -trigger kapag ang ulo ay ikiling patungo sa balikat___________.
a) Excicloduction / incicloduction / kaliwa.
b) incicloduction / excicloduction / kaliwa.
c) Excicloduction / incicloduction / kanan.
d) incicloduction / excicloduction / kanan.",D,a,a,b,a,a,a,a,b,a,a,b,a,a,a,b,b,b,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,a,b
9,2022,Teórica I,Anatomia,retina,"Com relação às células do corpo vítreo, assinale a alternativa correta.
a)São mais numerosos no adulto, comparativamente às do vítreo embrionário.
b)São representadas principalmente por linfócitos e neutrófilos maduros.
c)São abundantes na região da base vítrea.
d)Estão ausentes no recém-nascido.","Con respecto a las células del cuerpo vítreo, marque la alternativa correcta.
a) Son más numerosas en el adulto que en el vítreo embrionario.
b) Están representadas principalmente por linfocitos y neutrófilos maduros.
c) Son abundantes en la región de la base vítrea.
d) Están ausentes en el recién nacido.","Regarding the vitreous body cells, mark the correct alternative.
a) They are more numerous in the adult than in the embryonic vitreous.
b) They are mainly represented by lymphocytes and mature neutrophils.
c) They are abundant in the region of the vitreous base.
d) They are absent in the newborn.","Tungkol sa mga vitreous cells ng katawan, markahan ang tamang kahalili.
a) Mas marami sila sa may sapat na gulang kaysa sa embryonic vitreous.
b) Pangunahing kinakatawan sila ng mga lymphocytes at mature neutrophils.
c) Sila ay sagana sa rehiyon ng vitreous base.
d) wala sila sa bagong panganak.",C,a,a,a,a,a,b,A,b,C,a,a,A,a,A,a,a,a,a,a,a,a,A,a,a,b,a,C,a,A,B,a,a,A,a,a,A,a,A,A,a,A,a,A,a
10,2022,Teórica I,Anatomia,strabism,"Com relação à fisiologia dos músculos oculomotores, assinale a alternativa correta.
a)A contração muscular independe da disponibilidade de cálcio.
b)A fibra muscular é uma célula multinucleada.
c)Cada contração muscular é resultado de um ciclo único de formação e destruição de pontes de actina-miosina.
d)O relaxamento muscular depende principalmente da disponibilidade de sódio.","Con respecto a la fisiología de los músculos oculomotores, marque la alternativa correcta.
a) La contracción muscular es independiente de la disponibilidad de calcio.
b) La fibra muscular es una célula multinucleada.
c) Cada contracción muscular es el resultado de un ciclo único de formación y destrucción de los puentes de actina-miosina.
d) La relajación muscular depende principalmente de la disponibilidad de sodio.","Regarding the physiology of the oculomotor muscles, mark the correct alternative.
a) Muscle contraction is independent of calcium availability.
b) The muscle fiber is a multinucleated cell.
c) Each muscle contraction is the result of a unique cycle of formation and destruction of actin-myosin bridges.
d) Muscle relaxation rely mainly on sodium availability.","Tungkol sa pisyolohiya ng mga kalamnan ng oculomotor, markahan ang tamang kahalili.
a) Ang pag -urong ng kalamnan ay independiyenteng ng pagkakaroon ng calcium.
B) Ang hibla ng kalamnan ay isang multinucleated cell.
c) Ang bawat pag-urong ng kalamnan ay ang resulta ng isang natatanging pag-ikot ng pagbuo at pagkasira ng mga tulay na actin-myosin.
d) Ang pagpapahinga sa kalamnan ay higit na umaasa sa pagkakaroon ng sodium.",B,c,C,c,c,c,c,c,c,c,c,C,b,c,c,c,c,C,c,c,c,c,c,C,c,C,c,C,C,C,C,b,c,C,B,c,c,c,c,C,a,c,B,c,A
