ID,year,test,theme,subtheme,portuguese,english,answer,responses_english,reasoning_english,responses_portuguese,reasoning_portuguese
1,2022,Teórica I,Anatomia,cornea,"Em qual região ocular células caliciformes são fisiologicamente encontradas?
a)Córnea.
b)Limbo corneoescleral.
c)Linha cinzenta.
d)Prega semilunar.","In which ocular region are caliciform cells physiologically found?
a) Cornea.
b) Corneoscleral limbus.
c) Gray line.
d) Semilunar fold.",D,A,"Caliciform cells, also known as goblet cells, are found in the cornea. They are responsible for the production of the mucin layer of the tear film, which helps to keep the eye moist.",A,As células caliciformes são encontradas na córnea. Elas são responsáveis pela produção de muco que ajuda a manter a superfície do olho úmida.
2,2022,Teórica I,Anatomia,retina,"Assinale a alternativa que melhor correlaciona as características histológicas com os respectivos tecidos oculares:

I. Monocamada de células fortemente unidas por complexos juncionais.
II. Estriações paralelas e regulares observadas à microscopia óptica, perpendiculares ao epitélio.
III. Contém células bipolares, células amácrinas, células horizontais e células de Muller.
IV. Contém células magnocelulares, parvocelulares e coniocelulares.

A. Fotorreceptores.
B. Epitélio pigmentado da pigmentado da retina.
C. Camada ganglionar retiniana.
D. Camada nuclear interna.","Mark the alternative that best correlates the histological characteristics with the respective ocular tissues:

I. Monolayer of cells tightly joined together by junctional complexes.
II. Parallel and regular striations observed under optical microscopy, perpendicular to the epithelium.
III. It contains bipolar cells, amacrine cells, horizontal cells and Muller cells.
IV. It contains magnocellular, parvocellular and coniocellular cells.

A. Photoreceptors.
B. Retinal pigmented epithelium.
C. Retinal ganglionic layer.
D. Inner nuclear layer.",B,D,"The inner nuclear layer of the retina contains bipolar cells, amacrine cells, horizontal cells and Muller cells. Therefore, option D is the correct answer.",D,"As características descritas em III e IV correspondem à camada nuclear interna do olho, que contém células bipolares, células amácrinas, células horizontais e células de Muller, bem como células magnocelulares, parvocelulares e coniocelulares."
3,2022,Teórica I,Anatomia,cornea,"Ordene as três denominações celulares encontradas no epitélio da córnea, iniciando pelo mais superficial, seguido do intermediário e do profundo.
a)Plana, alada, basal.
b)Alada, basal, plana.
c)Basal, plana, alada.
d)Alada, plana, basal.","Order the three cell names found in the corneal epithelium, starting with the most superficial, followed by the intermediate and the deep.
a) Flat, wing, basal.
b) wing, basal, flat.
c) Basal, flat, wing.
d) wing, flat, basal.",A,A,"The corneal epithelium is composed of three types of cells: flat (squamous), wing (wing-shaped), and basal (columnar). The most superficial layer is the flat cells, followed by the wing cells, and the deepest layer is the basal cells. Therefore, the correct order is flat, wing, basal.",A,"As células epiteliais da córnea são organizadas em três camadas: a camada mais superficial é composta por células planas, a camada intermediária por células aladas e a camada mais profunda por células basais."
4,2022,Teórica I,Anatomia,cornea,"Sobre a membrana de Descemet da córnea, é correto afirmar:
a)As células endoteliais não participam da sua formação.
b)Sua espessura no adulto é de cerca de 30 µm.
c)Sua porção mais anterior é de origem embrionária.
d)Sua espessura reduz-se com a idade.","Regarding Descemet's membrane of the cornea, it is correct to state:
a) Endothelial cells do not participate in its formation.
b) Its thickness in the adult is about 30 µm.
c) Its most anterior portion is of embryonic origin.
d) Its thickness reduces with age.",C,C,"The most anterior portion of Descemet's membrane is of embryonic origin. The other options are incorrect because endothelial cells do participate in its formation, its thickness in the adult is about 10-12 µm, not 30 µm, and its thickness increases with age, not reduces.",C,"A porção mais anterior da membrana de Descemet é de origem embrionária. As outras opções são incorretas porque as células endoteliais participam da formação da membrana de Descemet, sua espessura no adulto é de cerca de 10 µm, não 30 µm, e sua espessura aumenta com a idade, não diminui."
5,2022,Teórica I,Anatomia,cornea,"Sobre a camada lipídica do filme lacrimal, assinale a alternativa correta. a)Tem por propósito básico estabilizar o filme e é secretada pelas glândulas de Meibomius e de Manz.  b)Ésteres de colesterol estão entre seus componentes e uma de suas funções é retardar a evaporação do filme lacrimal. c)Na disfunção das glândulas de Meibomius, o ponto de fusão de sua secreção diminui, colaborando para a estagnação dessas substâncias. d)Pode ser avaliada pelo tempo de ruptura do filme lacrimal, permanecendo intacta por menos de cinco segundos em olhos saudáveis.","About the lipidic layer of the lacrimal film, choose the right answer. a) its purpose is to stabilize the lacrimal film secreted by the meibomian and manz glans b) Cholesterol esters are within its components, and one of the functions is to delay the lacrimal film evaporation c) In meibomian gland dysfunction, the fusion point decrease, leading to stagnation d) can be evaluated by the lacrimal film break up time, keeping intact less than five seconds in healthy eyes.",B,B,The lipidic layer of the lacrimal film contains cholesterol esters and one of its functions is to delay the evaporation of the lacrimal film. This is a well-known fact in ophthalmology.,B,A camada lipídica do filme lacrimal é secretada pelas glândulas de Meibomius e tem como função retardar a evaporação do filme lacrimal. Entre seus componentes estão os ésteres de colesterol.
6,2022,Teórica I,Anatomia,strabism,"Sobre os músculos oculares externos, assinale a alternativa correta.
a)Na lei de Hering, a inervação se distribui igualmente para os músculos agonista e antagonista, para determinada versão.
b)Os movimentos persecutórios se dão automaticamente, de maneira lenta, ao deslocamento do ponto de fixação.
c)Na lei de Sherrington, o estímulo de contração é distribuído entre os agonistas de ambos os olhos, para que ela ocorra simetricamente.
d)Os movimentos sacádicos são caracterizados por movimentos bruscos, descoordenados, de natureza totalmente reflexa.","Regarding the external ocular muscles, choose the correct answer. a) in the Hering's law, the innervation is equally distributed to the agosist and antagonist muscles, for a given ocular version. b) The persecutory movements will automatically occur, slowly, with the displacement of the fixation point c) In the sherrington's law, the contraction stimulus is distributed between the agonists of both eyes, so that it occur symmetrically. d) Saccadic movements are characterized by abrupq, uncoordinated, reflex movments.",B,C,"Sherrington's law states that the contraction stimulus is distributed between the agonists of both eyes, so that it occurs symmetrically. This is the correct answer because it accurately describes the principle of Sherrington's law in relation to the external ocular muscles.",A,"A lei de Hering afirma que a inervação se distribui igualmente para os músculos agonista e antagonista, para determinada versão. Isso significa que quando um olho se move em uma direção, o outro olho se move na mesma direção."
7,2022,Teórica I,Anatomia,cornea,"Sobre a córnea, é correto afirmar:
a)A disposição das fibrilas de colágeno corneanas não tem relação com a sua transparência.
b)Pleomorfismo das células endoteliais é caracterizado pela variação do tamanho dessas células.
c)As células do estroma anterior possuem grande quantidade de mitocôndrias, responsáveis pela produção de energia que supre a bomba endotelial.
d)O endotélio comporta-se como uma barreira permeável não-seletiva entre o humor aquoso e a substância própria.","About the cornea, it is correct to state. a) The arrangement of corneal collagen fibrils is unrelated to its transparency. b) Pleomorphism of endothelial cells is characterized by the variation in the size of these cells. c) anterior stroma have a large number of mitochondria, responsible for the production of energy that supplies the endothelial pump. d) The endothelium behaves as a permeable non-selective barrier between the aqueous humor and the substantia propria.",D,B,"Pleomorphism refers to the variation in size, shape, and arrangement of cells. In the context of corneal endothelial cells, pleomorphism is characterized by the variation in the size of these cells. The other options are incorrect. The arrangement of corneal collagen fibrils is crucial to its transparency (A), the anterior stroma does not have a large number of mitochondria (C), and the endothelium acts as a semi-permeable barrier, not a non-selective one (D).",B,"Pleomorfismo refere-se à variação no tamanho e forma das células. Portanto, o pleomorfismo das células endoteliais é caracterizado pela variação do tamanho dessas células."
8,2022,Teórica I,Anatomia,strabism,"Assinale a alternativa que preenche corretamente as lacunas. A levocicloversão corresponde a ____________ do olho direito e ________ do olho esquerdo e é desencadeada quando se inclina a cabeça para o ombro___________.
a)Exciclodução / inciclodução / esquerdo.
b)Inciclodução / exciclodução / esquerdo.
c)Exciclodução / inciclodução / direito.
d)Inciclodução / exciclodução / direito.","Choose the alternative that correctly fills in the gaps. Levocycloversion corresponds to ____________ of the right eye and ________ of the left eye and is triggered when the head is tilted towards the shoulder___________.
a) Excicloduction / incicloduction / left.
b) Incicloduction / excicloduction / left.
c) Excicloduction / incicloduction / law.
d) Incicloduction / excicloduction / right.",D,A,Levocycloversion corresponds to excicloduction of the right eye and incicloduction of the left eye and is triggered when the head is tilted towards the left shoulder.,A,"A levocicloversão corresponde à exciclodução do olho direito e à inciclodução do olho esquerdo, e é desencadeada quando se inclina a cabeça para o ombro esquerdo."
9,2022,Teórica I,Anatomia,retina,"Com relação às células do corpo vítreo, assinale a alternativa correta.
a)São mais numerosos no adulto, comparativamente às do vítreo embrionário.
b)São representadas principalmente por linfócitos e neutrófilos maduros.
c)São abundantes na região da base vítrea.
d)Estão ausentes no recém-nascido.","Regarding the vitreous body cells, mark the correct alternative.
a) They are more numerous in the adult than in the embryonic vitreous.
b) They are mainly represented by lymphocytes and mature neutrophils.
c) They are abundant in the region of the vitreous base.
d) They are absent in the newborn.",C,C,"The vitreous body cells are abundant in the region of the vitreous base. The vitreous body is largely acellular, but there are cells present in the vitreous base region. The other options are incorrect as the vitreous body cells are not more numerous in adults than in embryos, they are not mainly represented by lymphocytes and mature neutrophils, and they are not absent in newborns.",C,"As células do corpo vítreo são mais abundantes na região da base vítrea. As outras opções são incorretas: as células do corpo vítreo não são mais numerosas no adulto em comparação com o vítreo embrionário, não são representadas principalmente por linfócitos e neutrófilos maduros e não estão ausentes no recém-nascido."
10,2022,Teórica I,Anatomia,strabism,"Com relação à fisiologia dos músculos oculomotores, assinale a alternativa correta.
a)A contração muscular independe da disponibilidade de cálcio.
b)A fibra muscular é uma célula multinucleada.
c)Cada contração muscular é resultado de um ciclo único de formação e destruição de pontes de actina-miosina.
d)O relaxamento muscular depende principalmente da disponibilidade de sódio.","Regarding the physiology of the oculomotor muscles, mark the correct alternative.
a) Muscle contraction is independent of calcium availability.
b) The muscle fiber is a multinucleated cell.
c) Each muscle contraction is the result of a unique cycle of formation and destruction of actin-myosin bridges.
d) Muscle relaxation rely mainly on sodium availability.",B,B,"The muscle fiber is a multinucleated cell. This is because muscle fibers, also known as myocytes, are formed by the fusion of myoblasts, each of which contributes its own nucleus to the resulting cell. Therefore, muscle fibers are multinucleated.",B,"A fibra muscular é uma célula multinucleada. As outras opções são incorretas. A contração muscular depende da disponibilidade de cálcio, não independe dela. Cada contração muscular não é resultado de um ciclo único de formação e destruição de pontes de actina-miosina, mas sim de muitos ciclos. O relaxamento muscular não depende principalmente da disponibilidade de sódio, mas sim da remoção do cálcio do citosol."
11,2022,Teórica I,Anatomia,cataract,"Com relação ao cristalino, assinale a alternativa correta.
a)Embora seu volume aumente com a idade, seu peso mantém-se constante.
b)A proteólise de suas fibras é o principal mecanismo de seu crescimento celular.
c)A síntese de suas proteínas processa-se durante a diferenciação da célula em fibra.
d)Sua síntese proteica é continua ao longo da vida, mantendo plasticidade e elasticidade estáveis da infância ao envelhecimento.","With regard to the lens, mark the correct alternative.
a) Although its volume increases with age, its weight remains constant.
b) The proteolysis of its fibers is the main mechanism of its cellular growth.
c) The synthesis of its proteins takes place during the differentiation of the cell into fiber.
d) Its protein synthesis is continuous throughout life, maintaining stable plasticity and elasticity from childhood to aging.
 ",C,C,"The synthesis of lens proteins occurs during the differentiation of the cell into fiber. This is a well-known process in the development of the lens. The other options are incorrect. The lens does increase in volume and weight with age (option A), proteolysis is not the main mechanism of cellular growth (option B), and protein synthesis is not continuous throughout life (option D).",C,"A síntese de proteínas do cristalino ocorre durante a diferenciação da célula em fibra. As outras opções são incorretas porque o cristalino não aumenta de volume com a idade, a proteólise de suas fibras não é o principal mecanismo de seu crescimento celular e sua síntese proteica não é contínua ao longo da vida."
12,2022,Teórica I,Anatomia,retina,"Paciente com artrose faz uso de altas doses de cloroquina há anos. Acredita-se que essa droga pode causar mau funcionamento do epitélio pigmentar retiniano, uma vez que:
a)Impede a síntese de melanina.
b)Impede a fagocitose dos discos dos segmentos externos dos fotorreceptores.
c)Impede o transporte de íons intracelulares.
d)Favorece a intensa troca de calor entre os fotorreceptores e a coroide.","A patient with arthrosis has been using high doses of chloroquine for years. It is believed that this drug can cause malfunction of the retinal pigment epithelium, since:
a) It hinders the synthesis of melanin.
b) It hinders phagocytosis of the disks of the photoreceptor outer segments.
c) It hinders the transport of intracellular ions.
d) It favors intense heat exchange between the photoreceptors and the choroid.",B,B,Chloroquine can cause malfunction of the retinal pigment epithelium by hindering phagocytosis of the disks of the photoreceptor outer segments. This is a known side effect of the drug.,B,"A cloroquina pode causar mau funcionamento do epitélio pigmentar retiniano, pois impede a fagocitose dos discos dos segmentos externos dos fotorreceptores. Isso pode levar a um acúmulo de material não digerido, o que pode danificar as células e levar à perda de visão."
13,2022,Teórica I,Anatomia,retina,"Com relação ao fluxo sanguíneo na coroide, podemos afirmar:
a)É responsável por toda nutrição da retina.
b)É responsável por 95% da glicose consumida na parte interna da retina.
c)Participa da regulação térmica dos fotorreceptores.
d)Os esfíncteres pré-capilares previnem o hiperfluxo de sangue em áreas nobres como a mácula.","Regarding the blood flow in the choroid, it is possible to state:
a) It is responsible for all nutrition of the retina.
b) It is responsible for 95% of the glucose consumed in the inner part of the retina.
c)Participates in the thermal regulation of photoreceptors.
d) The pre-capillary sphincters prevent the hyperflow of blood in noble areas such as the macula.",C,C,The choroid is responsible for the thermal regulation of photoreceptors. It is not responsible for all nutrition of the retina or 95% of the glucose consumed in the inner part of the retina. The pre-capillary sphincters do not prevent the hyperflow of blood in noble areas such as the macula.,C,O fluxo sanguíneo na coroide participa da regulação térmica dos fotorreceptores. A coroide é uma camada vascular do olho que fornece oxigênio e nutrientes para a retina externa e ajuda a regular a temperatura dos fotorreceptores.
14,2022,Teórica I,Embriologia,retina,"Sobre a embriologia da coroide, é correto afirmar:
a)A coriocapilar é a primeira a se formar, com posterior formação dos grandes vasos.
b)A lâmina basal dá origem à membrana de Bruch que se situa entre o coriocapilar e a camada de Sattler.
c)A camada vascular intermediária é a última a se formar e desenvolve-se do corpo ciliar em direção ao equador.
d)O estroma da coroide é essencialmente produzido a partir de células do mesoderma.","Regarding the embryology of the choroid, it is correct to state:
a) The choriocapillaris is the first to be formed, with subsequent formation of the great vessels.
b) The basal lamina originate the Bruch's membrane, which lies between the choriocapillaris and Sattler's layer.
c) The intermediate vascular layer is the last to form and develops from the ciliary body towards the equator.
d) The choroidal stroma is essentially produced from mesoderm cells.",A,D,"The choroidal stroma is essentially produced from mesoderm cells. This is because the choroid, like other parts of the uveal tract, is derived from the mesoderm and neural crest cells.",D,"The stroma of the choroid is essentially produced from cells of the mesoderm. The choroid, like the rest of the uvea, is derived from the mesoderm and neural crest cells."
15,2022,Teórica I,Embriologia,retina,"Com relação à embriologia ocular, é correto afirmar:
a)O epitélio da córnea origina-se a partir das células da crista neural.
b)Ao nascimento, córnea e esclera apresentam o mesmo raio de curvatura.
c)A camada de Bowman surge entre o primeiro e o segundo mês de gestação.
d)A córnea desenvolve-se a partir da superfície ectodérmica e das células da crista neural.","Regarding ocular embryology, it is correct to state:
a) Corneal epithelium arises from neural crest cells.
b) At birth, the cornea and sclera have curvature radius.
c) Bowman's layer appears between the first and second month of pregnancy.
d) The cornea develops from the ectodermal surface and neural crest cells.",D,D,"The cornea develops from the ectodermal surface and neural crest cells. The corneal epithelium and Bowman's layer are derived from the surface ectoderm, while the corneal stroma and endothelium are derived from neural crest cells.",D,"A córnea desenvolve-se a partir da superfície ectodérmica e das células da crista neural. Isso ocorre porque a córnea é formada por duas camadas: o epitélio anterior, que se origina do ectoderma superficial, e o estroma posterior, que se origina das células da crista neural."
16,2022,Teórica I,Genética,,"Sobre as doenças de herança autossômica dominante, é correto afirmar:
a)Em geral, são observadas em várias gestações.
b)Os homens costumam ser mais afetados do que as mulheres.
c)A gravidade da doença é sempre a mesma entre as pessoas afetadas da mesma família.
d)Apenas as mulheres transmitem a mutação.","Regarding the autosomal dominant inheritance diseases, it is correct to state:
a) In general, they are observed in several gestations.
b) Men tend to be more affected than women.
c) The severity of the disease is always the same among affected people from the same family.
d) Only females transmit the mutation.",A,A,"Autosomal dominant inheritance diseases can be observed in several generations. This is because a person who has an autosomal dominant disorder has a 50% chance of passing the mutant gene to each child. The other options are incorrect because the severity of the disease can vary among affected people from the same family (C), both males and females can transmit the mutation (D), and there is no gender preference in autosomal dominant disorders (B).",A,"As doenças de herança autossômica dominante podem ser observadas em várias gestações, pois um indivíduo afetado tem 50% de chance de transmitir a mutação para seus filhos, independentemente do sexo. As outras opções são incorretas: tanto homens quanto mulheres podem ser igualmente afetados e transmitir a mutação (B e D), e a gravidade da doença pode variar entre indivíduos da mesma família (C)."
