theme,match_spanish,match_tagalog,match_portuguese,match_english,Total,responses_spanish (%),responses_tagalog (%),responses_portuguese (%),responses_english (%)
anatomy,4,5,5,4,21,19.05,23.81,23.81,19.05
contact lenses,0,1,0,0,3,0.0,33.33,0.0,0.0
cornea,2,2,2,3,10,20.0,20.0,20.0,30.0
cornea/lens,1,1,0,1,1,100.0,100.0,0.0,100.0
embryology,1,1,1,1,2,50.0,50.0,50.0,50.0
genetics,0,0,0,0,2,0.0,0.0,0.0,0.0
glaucoma,1,3,2,3,9,11.11,33.33,22.22,33.33
glaucoma/uveitis,0,0,0,0,1,0.0,0.0,0.0,0.0
lens/cataract,5,5,6,4,8,62.5,62.5,75.0,50.0
low vision,1,1,1,1,1,100.0,100.0,100.0,100.0
neuro-ophthalmology,2,2,2,0,7,28.57,28.57,28.57,0.0
ocular plastic surgery,3,5,3,3,16,18.75,31.25,18.75,18.75
oncology,1,0,0,0,1,100.0,0.0,0.0,0.0
oncology/ocular plastic surgery,0,0,0,0,3,0.0,0.0,0.0,0.0
optics,1,0,1,0,1,100.0,0.0,100.0,0.0
optics/refraction,1,1,1,1,1,100.0,100.0,100.0,100.0
pharmacology,3,4,3,4,9,33.33,44.44,33.33,44.44
pharmacology/glaucoma,0,0,0,1,1,0.0,0.0,0.0,100.0
refraction,11,9,8,12,31,35.48,29.03,25.81,38.71
refraction/low vision,0,0,0,0,2,0.0,0.0,0.0,0.0
refractive surgery,1,1,1,1,2,50.0,50.0,50.0,50.0
retina,2,2,2,4,12,16.67,16.67,16.67,33.33
retina/oncology,0,0,1,0,1,0.0,0.0,100.0,0.0
strabismus,4,4,3,4,11,36.36,36.36,27.27,36.36
uveitis,1,1,1,3,8,12.5,12.5,12.5,37.5
