test,year,theme,match_spanish,match_tagalog,match_portuguese,match_english,Total
Teórica I,2022,anatomy,4,5,5,4,21
Teórica I,2022,cornea,1,0,1,1,1
Teórica I,2022,embryology,1,1,1,1,2
Teórica I,2022,genetics,0,0,0,0,2
Teórica I,2022,glaucoma,0,0,0,1,1
Teórica I,2022,oncology,1,0,0,0,1
Teórica I,2022,pharmacology,2,1,2,2,3
Teórica I,2022,refraction,4,3,1,3,12
Teórica I,2022,retina,0,0,0,0,1
Teórica II,2022,contact lenses,0,1,0,0,3
Teórica II,2022,cornea,1,2,1,2,9
Teórica II,2022,cornea/lens,1,1,0,1,1
Teórica II,2022,glaucoma,1,3,2,2,8
Teórica II,2022,glaucoma/uveitis,0,0,0,0,1
Teórica II,2022,lens/cataract,5,5,6,4,8
Teórica II,2022,low vision,1,1,1,1,1
Teórica II,2022,neuro-ophthalmology,2,2,2,0,7
Teórica II,2022,ocular plastic surgery,3,5,3,3,16
Teórica II,2022,oncology/ocular plastic surgery,0,0,0,0,3
Teórica II,2022,optics,1,0,1,0,1
Teórica II,2022,optics/refraction,1,1,1,1,1
Teórica II,2022,pharmacology,1,3,1,2,6
Teórica II,2022,pharmacology/glaucoma,0,0,0,1,1
Teórica II,2022,refraction,7,6,7,9,19
Teórica II,2022,refraction/low vision,0,0,0,0,2
Teórica II,2022,refractive surgery,1,1,1,1,2
Teórica II,2022,retina,2,2,2,4,11
Teórica II,2022,retina/oncology,0,0,1,0,1
Teórica II,2022,strabismus,4,4,3,4,11
Teórica II,2022,uveitis,1,1,1,3,8
