theme,match_hindi,match_french,Total,responses_hindi (%),responses_french (%)
anatomy,10,14,21,47.62,66.67
contact lenses,2,2,3,66.67,66.67
cornea,2,2,10,20.0,20.0
cornea/lens,1,0,1,100.0,0.0
embryology,1,1,2,50.0,50.0
genetics,1,2,2,50.0,100.0
glaucoma,6,6,9,66.67,66.67
glaucoma/uveitis,1,1,1,100.0,100.0
lens/cataract,1,5,8,12.5,62.5
low vision,0,0,1,0.0,0.0
neuro-ophthalmology,3,5,7,42.86,71.43
ocular plastic surgery,8,9,16,50.0,56.25
oncology,1,1,1,100.0,100.0
oncology/ocular plastic surgery,2,2,3,66.67,66.67
optics,0,0,1,0.0,0.0
optics/refraction,0,1,1,0.0,100.0
pharmacology,6,6,9,66.67,66.67
pharmacology/glaucoma,1,1,1,100.0,100.0
refraction,10,12,31,32.26,38.71
refraction/low vision,0,0,2,0.0,0.0
refractive surgery,1,2,2,50.0,100.0
retina,5,6,12,41.67,50.0
retina/oncology,1,0,1,100.0,0.0
strabismus,5,5,11,45.45,45.45
uveitis,5,4,8,62.5,50.0
