test,year,theme,match_hindi,match_french,Total
Teórica I,2022,anatomy,10,14,21
Teórica I,2022,cornea,0,0,1
Teórica I,2022,embryology,1,1,2
Teórica I,2022,genetics,1,2,2
Teórica I,2022,glaucoma,1,1,1
Teórica I,2022,oncology,1,1,1
Teórica I,2022,pharmacology,3,2,3
Teórica I,2022,refraction,3,6,12
Teórica I,2022,retina,0,0,1
Teórica II,2022,contact lenses,2,2,3
Teórica II,2022,cornea,2,2,9
Teórica II,2022,cornea/lens,1,0,1
Teórica II,2022,glaucoma,5,5,8
Teórica II,2022,glaucoma/uveitis,1,1,1
Teórica II,2022,lens/cataract,1,5,8
Teórica II,2022,low vision,0,0,1
Teórica II,2022,neuro-ophthalmology,3,5,7
Teórica II,2022,ocular plastic surgery,8,9,16
Teórica II,2022,oncology/ocular plastic surgery,2,2,3
Teórica II,2022,optics,0,0,1
Teórica II,2022,optics/refraction,0,1,1
Teórica II,2022,pharmacology,3,4,6
Teórica II,2022,pharmacology/glaucoma,1,1,1
Teórica II,2022,refraction,7,6,19
Teórica II,2022,refraction/low vision,0,0,2
Teórica II,2022,refractive surgery,1,2,2
Teórica II,2022,retina,5,6,11
Teórica II,2022,retina/oncology,1,0,1
Teórica II,2022,strabismus,5,5,11
Teórica II,2022,uveitis,5,4,8
