theme,match_hindi,match_french,Total,responses_hindi (%),responses_french (%)
anatomy,8,10,21,38.1,47.62
contact lenses,2,1,3,66.67,33.33
cornea,2,3,10,20.0,30.0
cornea/lens,1,1,1,100.0,100.0
embryology,0,1,2,0.0,50.0
genetics,1,1,2,50.0,50.0
glaucoma,5,5,9,55.56,55.56
glaucoma/uveitis,0,0,1,0.0,0.0
lens/cataract,5,4,8,62.5,50.0
low vision,0,1,1,0.0,100.0
neuro-ophthalmology,3,2,7,42.86,28.57
ocular plastic surgery,7,8,16,43.75,50.0
oncology,1,1,1,100.0,100.0
oncology/ocular plastic surgery,2,2,3,66.67,66.67
optics,0,1,1,0.0,100.0
optics/refraction,0,1,1,0.0,100.0
pharmacology,6,7,9,66.67,77.78
pharmacology/glaucoma,0,0,1,0.0,0.0
refraction,11,12,31,35.48,38.71
refraction/low vision,0,0,2,0.0,0.0
refractive surgery,2,2,2,100.0,100.0
retina,4,6,12,33.33,50.0
retina/oncology,0,0,1,0.0,0.0
strabismus,6,8,11,54.55,72.73
uveitis,3,2,8,37.5,25.0
