test,year,theme,match_hindi,match_french,Total
Teórica I,2022,anatomy,8,10,21
Teórica I,2022,cornea,1,0,1
Teórica I,2022,embryology,0,1,2
Teórica I,2022,genetics,1,1,2
Teórica I,2022,glaucoma,1,1,1
Teórica I,2022,oncology,1,1,1
Teórica I,2022,pharmacology,2,3,3
Teórica I,2022,refraction,4,5,12
Teórica I,2022,retina,0,1,1
Teórica II,2022,contact lenses,2,1,3
Teórica II,2022,cornea,1,3,9
Teórica II,2022,cornea/lens,1,1,1
Teórica II,2022,glaucoma,4,4,8
Teórica II,2022,glaucoma/uveitis,0,0,1
Teórica II,2022,lens/cataract,5,4,8
Teórica II,2022,low vision,0,1,1
Teórica II,2022,neuro-ophthalmology,3,2,7
Teórica II,2022,ocular plastic surgery,7,8,16
Teórica II,2022,oncology/ocular plastic surgery,2,2,3
Teórica II,2022,optics,0,1,1
Teórica II,2022,optics/refraction,0,1,1
Teórica II,2022,pharmacology,4,4,6
Teórica II,2022,pharmacology/glaucoma,0,0,1
Teórica II,2022,refraction,7,7,19
Teórica II,2022,refraction/low vision,0,0,2
Teórica II,2022,refractive surgery,2,2,2
Teórica II,2022,retina,4,5,11
Teórica II,2022,retina/oncology,0,0,1
Teórica II,2022,strabismus,6,8,11
Teórica II,2022,uveitis,3,2,8
