theme,match_hindi,match_french,Total,responses_hindi (%),responses_french (%)
anatomy,9,13,21,42.86,61.9
contact lenses,1,1,3,33.33,33.33
cornea,2,3,10,20.0,30.0
cornea/lens,1,1,1,100.0,100.0
embryology,1,1,2,50.0,50.0
genetics,2,2,2,100.0,100.0
glaucoma,5,7,9,55.56,77.78
glaucoma/uveitis,1,1,1,100.0,100.0
lens/cataract,3,4,8,37.5,50.0
low vision,1,1,1,100.0,100.0
neuro-ophthalmology,4,4,7,57.14,57.14
ocular plastic surgery,8,7,16,50.0,43.75
oncology,1,1,1,100.0,100.0
oncology/ocular plastic surgery,2,2,3,66.67,66.67
optics,0,1,1,0.0,100.0
optics/refraction,1,1,1,100.0,100.0
pharmacology,5,7,9,55.56,77.78
pharmacology/glaucoma,1,1,1,100.0,100.0
refraction,13,16,31,41.94,51.61
refraction/low vision,1,0,2,50.0,0.0
refractive surgery,2,2,2,100.0,100.0
retina,8,10,12,66.67,83.33
retina/oncology,0,0,1,0.0,0.0
strabismus,5,6,11,45.45,54.55
uveitis,3,5,8,37.5,62.5
