test,year,theme,match_hindi,match_french,Total
Teórica I,2022,anatomy,9,13,21
Teórica I,2022,cornea,1,1,1
Teórica I,2022,embryology,1,1,2
Teórica I,2022,genetics,2,2,2
Teórica I,2022,glaucoma,1,1,1
Teórica I,2022,oncology,1,1,1
Teórica I,2022,pharmacology,3,3,3
Teórica I,2022,refraction,6,5,12
Teórica I,2022,retina,0,1,1
Teórica II,2022,contact lenses,1,1,3
Teórica II,2022,cornea,1,2,9
Teórica II,2022,cornea/lens,1,1,1
Teórica II,2022,glaucoma,4,6,8
Teórica II,2022,glaucoma/uveitis,1,1,1
Teórica II,2022,lens/cataract,3,4,8
Teórica II,2022,low vision,1,1,1
Teórica II,2022,neuro-ophthalmology,4,4,7
Teórica II,2022,ocular plastic surgery,8,7,16
Teórica II,2022,oncology/ocular plastic surgery,2,2,3
Teórica II,2022,optics,0,1,1
Teórica II,2022,optics/refraction,1,1,1
Teórica II,2022,pharmacology,2,4,6
Teórica II,2022,pharmacology/glaucoma,1,1,1
Teórica II,2022,refraction,7,11,19
Teórica II,2022,refraction/low vision,1,0,2
Teórica II,2022,refractive surgery,2,2,2
Teórica II,2022,retina,8,9,11
Teórica II,2022,retina/oncology,0,0,1
Teórica II,2022,strabismus,5,6,11
Teórica II,2022,uveitis,3,5,8
