theme,match_hindi,match_french,Total,responses_hindi (%),responses_french (%)
anatomy,8,5,21,38.1,23.81
contact lenses,0,1,3,0.0,33.33
cornea,2,2,10,20.0,20.0
cornea/lens,1,0,1,100.0,0.0
embryology,0,0,2,0.0,0.0
genetics,1,0,2,50.0,0.0
glaucoma,3,3,9,33.33,33.33
glaucoma/uveitis,0,1,1,0.0,100.0
lens/cataract,3,4,8,37.5,50.0
low vision,0,0,1,0.0,0.0
neuro-ophthalmology,2,5,7,28.57,71.43
ocular plastic surgery,8,6,16,50.0,37.5
oncology,0,1,1,0.0,100.0
oncology/ocular plastic surgery,0,0,3,0.0,0.0
optics,0,1,1,0.0,100.0
optics/refraction,0,1,1,0.0,100.0
pharmacology,4,4,9,44.44,44.44
pharmacology/glaucoma,1,1,1,100.0,100.0
refraction,13,15,31,41.94,48.39
refraction/low vision,0,0,2,0.0,0.0
refractive surgery,2,2,2,100.0,100.0
retina,5,5,12,41.67,41.67
retina/oncology,0,0,1,0.0,0.0
strabismus,6,3,11,54.55,27.27
uveitis,2,3,8,25.0,37.5
