test,year,theme,match_hindi,match_french,Total
Teórica I,2022,anatomy,8,5,21
Teórica I,2022,cornea,0,0,1
Teórica I,2022,embryology,0,0,2
Teórica I,2022,genetics,1,0,2
Teórica I,2022,glaucoma,1,1,1
Teórica I,2022,oncology,0,1,1
Teórica I,2022,pharmacology,1,2,3
Teórica I,2022,refraction,6,8,12
Teórica I,2022,retina,0,1,1
Teórica II,2022,contact lenses,0,1,3
Teórica II,2022,cornea,2,2,9
Teórica II,2022,cornea/lens,1,0,1
Teórica II,2022,glaucoma,2,2,8
Teórica II,2022,glaucoma/uveitis,0,1,1
Teórica II,2022,lens/cataract,3,4,8
Teórica II,2022,low vision,0,0,1
Teórica II,2022,neuro-ophthalmology,2,5,7
Teórica II,2022,ocular plastic surgery,8,6,16
Teórica II,2022,oncology/ocular plastic surgery,0,0,3
Teórica II,2022,optics,0,1,1
Teórica II,2022,optics/refraction,0,1,1
Teórica II,2022,pharmacology,3,2,6
Teórica II,2022,pharmacology/glaucoma,1,1,1
Teórica II,2022,refraction,7,7,19
Teórica II,2022,refraction/low vision,0,0,2
Teórica II,2022,refractive surgery,2,2,2
Teórica II,2022,retina,5,4,11
Teórica II,2022,retina/oncology,0,0,1
Teórica II,2022,strabismus,6,3,11
Teórica II,2022,uveitis,2,3,8
