theme,match_english,match_portuguese,Total,responses_english (%),responses_portuguese (%)
anatomy,8,9,21,38.1,42.86
contact lenses,1,1,3,33.33,33.33
cornea,5,3,10,50.0,30.0
cornea/lens,1,1,1,100.0,100.0
embryology,1,1,2,50.0,50.0
genetics,1,1,2,50.0,50.0
glaucoma,4,4,9,44.44,44.44
glaucoma/uveitis,0,1,1,0.0,100.0
lens/cataract,2,3,8,25.0,37.5
low vision,1,1,1,100.0,100.0
neuro-ophthalmology,3,3,7,42.86,42.86
ocular plastic surgery,10,7,16,62.5,43.75
oncology,0,1,1,0.0,100.0
oncology/ocular plastic surgery,2,1,3,66.67,33.33
optics,0,0,1,0.0,0.0
optics/refraction,1,1,1,100.0,100.0
pharmacology,4,4,9,44.44,44.44
pharmacology/glaucoma,1,1,1,100.0,100.0
refraction,11,14,31,35.48,45.16
refraction/low vision,1,0,2,50.0,0.0
refractive surgery,2,2,2,100.0,100.0
retina,8,7,12,66.67,58.33
retina/oncology,0,0,1,0.0,0.0
strabismus,5,4,11,45.45,36.36
uveitis,4,3,8,50.0,37.5
