theme,match_hindi,match_french,Total,responses_hindi (%),responses_french (%)
anatomy,13,15,21,61.9,71.43
contact lenses,1,3,3,33.33,100.0
cornea,3,4,10,30.0,40.0
cornea/lens,1,1,1,100.0,100.0
embryology,1,1,2,50.0,50.0
genetics,1,2,2,50.0,100.0
glaucoma,5,8,9,55.56,88.89
glaucoma/uveitis,1,1,1,100.0,100.0
lens/cataract,4,6,8,50.0,75.0
low vision,1,1,1,100.0,100.0
neuro-ophthalmology,4,6,7,57.14,85.71
ocular plastic surgery,12,12,16,75.0,75.0
oncology,1,1,1,100.0,100.0
oncology/ocular plastic surgery,2,3,3,66.67,100.0
optics,0,1,1,0.0,100.0
optics/refraction,0,1,1,0.0,100.0
pharmacology,7,8,9,77.78,88.89
pharmacology/glaucoma,1,1,1,100.0,100.0
refraction,17,17,31,54.84,54.84
refraction/low vision,1,1,2,50.0,50.0
refractive surgery,2,2,2,100.0,100.0
retina,9,10,12,75.0,83.33
retina/oncology,1,1,1,100.0,100.0
strabismus,6,7,11,54.55,63.64
uveitis,4,5,8,50.0,62.5
