theme,match_hindi,match_french,Total,responses_hindi (%),responses_french (%)
anatomy,12,13,21,57.14,61.9
contact lenses,1,2,3,33.33,66.67
cornea,2,4,10,20.0,40.0
cornea/lens,1,1,1,100.0,100.0
embryology,1,1,2,50.0,50.0
genetics,1,2,2,50.0,100.0
glaucoma,5,8,9,55.56,88.89
glaucoma/uveitis,0,1,1,0.0,100.0
lens/cataract,2,3,8,25.0,37.5
low vision,1,0,1,100.0,0.0
neuro-ophthalmology,4,7,7,57.14,100.0
ocular plastic surgery,11,10,16,68.75,62.5
oncology,1,1,1,100.0,100.0
oncology/ocular plastic surgery,2,2,3,66.67,66.67
optics,0,1,1,0.0,100.0
optics/refraction,0,1,1,0.0,100.0
pharmacology,7,8,9,77.78,88.89
pharmacology/glaucoma,1,1,1,100.0,100.0
refraction,10,12,31,32.26,38.71
refraction/low vision,0,1,2,0.0,50.0
refractive surgery,2,2,2,100.0,100.0
retina,8,10,12,66.67,83.33
retina/oncology,1,1,1,100.0,100.0
strabismus,7,6,11,63.64,54.55
uveitis,3,5,8,37.5,62.5
