theme,match_spanish,match_tagalog,match_portuguese,match_english,Total,responses_spanish (%),responses_tagalog (%),responses_portuguese (%),responses_english (%)
anatomy,8,7,5,5,21,38.1,33.33,23.81,23.81
contact lenses,1,1,0,1,3,33.33,33.33,0.0,33.33
cornea,2,2,4,1,10,20.0,20.0,40.0,10.0
cornea/lens,0,1,1,1,1,0.0,100.0,100.0,100.0
embryology,0,0,0,0,2,0.0,0.0,0.0,0.0
genetics,0,1,1,1,2,0.0,50.0,50.0,50.0
glaucoma,3,4,4,4,9,33.33,44.44,44.44,44.44
glaucoma/uveitis,0,0,0,0,1,0.0,0.0,0.0,0.0
lens/cataract,3,1,3,4,8,37.5,12.5,37.5,50.0
low vision,0,0,0,1,1,0.0,0.0,0.0,100.0
neuro-ophthalmology,3,3,3,2,7,42.86,42.86,42.86,28.57
ocular plastic surgery,4,6,6,5,16,25.0,37.5,37.5,31.25
oncology,1,1,1,1,1,100.0,100.0,100.0,100.0
oncology/ocular plastic surgery,0,0,0,2,3,0.0,0.0,0.0,66.67
optics,0,0,0,0,1,0.0,0.0,0.0,0.0
optics/refraction,0,0,0,0,1,0.0,0.0,0.0,0.0
pharmacology,5,3,5,5,9,55.56,33.33,55.56,55.56
pharmacology/glaucoma,1,1,1,1,1,100.0,100.0,100.0,100.0
refraction,14,9,13,7,31,45.16,29.03,41.94,22.58
refraction/low vision,0,0,0,1,2,0.0,0.0,0.0,50.0
refractive surgery,2,2,2,1,2,100.0,100.0,100.0,50.0
retina,7,6,6,4,12,58.33,50.0,50.0,33.33
retina/oncology,1,1,1,1,1,100.0,100.0,100.0,100.0
strabismus,4,4,4,4,11,36.36,36.36,36.36,36.36
uveitis,3,5,4,3,8,37.5,62.5,50.0,37.5
