theme,match_chinese,match_japanese,match_korean,match_hindi,match_french,Total,responses_chinese (%),responses_japanese (%),responses_korean (%),responses_hindi (%),responses_french (%)
anatomy,11,6,7,8,8,21,52.38,28.57,33.33,38.1,38.1
contact lenses,1,1,1,0,2,3,33.33,33.33,33.33,0.0,66.67
cornea,2,2,2,4,2,10,20.0,20.0,20.0,40.0,20.0
cornea/lens,0,0,1,1,0,1,0.0,0.0,100.0,100.0,0.0
embryology,0,0,1,0,0,2,0.0,0.0,50.0,0.0,0.0
genetics,0,1,0,1,0,2,0.0,50.0,0.0,50.0,0.0
glaucoma,3,4,2,4,4,9,33.33,44.44,22.22,44.44,44.44
glaucoma/uveitis,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
lens/cataract,2,2,4,3,3,8,25.0,25.0,50.0,37.5,37.5
low vision,0,0,0,0,1,1,0.0,0.0,0.0,0.0,100.0
neuro-ophthalmology,3,2,3,3,3,7,42.86,28.57,42.86,42.86,42.86
ocular plastic surgery,3,5,5,8,6,16,18.75,31.25,31.25,50.0,37.5
oncology,0,0,0,0,1,1,0.0,0.0,0.0,0.0,100.0
oncology/ocular plastic surgery,0,2,1,1,0,3,0.0,66.67,33.33,33.33,0.0
optics,0,1,0,1,1,1,0.0,100.0,0.0,100.0,100.0
optics/refraction,0,0,0,0,1,1,0.0,0.0,0.0,0.0,100.0
pharmacology,3,3,5,2,5,9,33.33,33.33,55.56,22.22,55.56
pharmacology/glaucoma,1,1,1,0,1,1,100.0,100.0,100.0,0.0,100.0
refraction,9,10,12,7,9,31,29.03,32.26,38.71,22.58,29.03
refraction/low vision,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0
refractive surgery,2,2,2,2,2,2,100.0,100.0,100.0,100.0,100.0
retina,6,5,4,7,6,12,50.0,41.67,33.33,58.33,50.0
retina/oncology,1,0,1,0,1,1,100.0,0.0,100.0,0.0,100.0
strabismus,2,4,3,6,3,11,18.18,36.36,27.27,54.55,27.27
uveitis,2,2,1,3,3,8,25.0,25.0,12.5,37.5,37.5
