test,year,theme,match_chinese,match_japanese,match_korean,match_hindi,match_french,Total
Teórica I,2022,anatomy,11,6,7,8,8,21
Teórica I,2022,cornea,1,0,0,1,0,1
Teórica I,2022,embryology,0,0,1,0,0,2
Teórica I,2022,genetics,0,1,0,1,0,2
Teórica I,2022,glaucoma,1,1,1,1,1,1
Teórica I,2022,oncology,0,0,0,0,1,1
Teórica I,2022,pharmacology,1,1,3,0,3,3
Teórica I,2022,refraction,4,4,5,4,5,12
Teórica I,2022,retina,0,0,0,0,0,1
Teórica II,2022,contact lenses,1,1,1,0,2,3
Teórica II,2022,cornea,1,2,2,3,2,9
Teórica II,2022,cornea/lens,0,0,1,1,0,1
Teórica II,2022,glaucoma,2,3,1,3,3,8
Teórica II,2022,glaucoma/uveitis,0,0,1,0,0,1
Teórica II,2022,lens/cataract,2,2,4,3,3,8
Teórica II,2022,low vision,0,0,0,0,1,1
Teórica II,2022,neuro-ophthalmology,3,2,3,3,3,7
Teórica II,2022,ocular plastic surgery,3,5,5,8,6,16
Teórica II,2022,oncology/ocular plastic surgery,0,2,1,1,0,3
Teórica II,2022,optics,0,1,0,1,1,1
Teórica II,2022,optics/refraction,0,0,0,0,1,1
Teórica II,2022,pharmacology,2,2,2,2,2,6
Teórica II,2022,pharmacology/glaucoma,1,1,1,0,1,1
Teórica II,2022,refraction,5,6,7,3,4,19
Teórica II,2022,refraction/low vision,0,0,0,0,0,2
Teórica II,2022,refractive surgery,2,2,2,2,2,2
Teórica II,2022,retina,6,5,4,7,6,11
Teórica II,2022,retina/oncology,1,0,1,0,1,1
Teórica II,2022,strabismus,2,4,3,6,3,11
Teórica II,2022,uveitis,2,2,1,3,3,8
