theme,match_hindi,match_french,Total,responses_hindi (%),responses_french (%)
anatomy,11,15,21,52.38,71.43
contact lenses,3,1,3,100.0,33.33
cornea,6,3,10,60.0,30.0
cornea/lens,1,1,1,100.0,100.0
embryology,0,1,2,0.0,50.0
genetics,1,2,2,50.0,100.0
glaucoma,6,7,9,66.67,77.78
glaucoma/uveitis,1,1,1,100.0,100.0
lens/cataract,6,6,8,75.0,75.0
low vision,0,1,1,0.0,100.0
neuro-ophthalmology,4,5,7,57.14,71.43
ocular plastic surgery,11,12,16,68.75,75.0
oncology,1,1,1,100.0,100.0
oncology/ocular plastic surgery,1,1,3,33.33,33.33
optics,0,0,1,0.0,0.0
optics/refraction,0,1,1,0.0,100.0
pharmacology,8,7,9,88.89,77.78
pharmacology/glaucoma,1,1,1,100.0,100.0
refraction,16,18,31,51.61,58.06
refraction/low vision,0,0,2,0.0,0.0
refractive surgery,2,2,2,100.0,100.0
retina,10,10,12,83.33,83.33
retina/oncology,1,1,1,100.0,100.0
strabismus,5,5,11,45.45,45.45
uveitis,3,3,8,37.5,37.5
