test,year,theme,match_hindi,match_french,Total
Teórica I,2022,anatomy,11,15,21
Teórica I,2022,cornea,0,0,1
Teórica I,2022,embryology,0,1,2
Teórica I,2022,genetics,1,2,2
Teórica I,2022,glaucoma,1,1,1
Teórica I,2022,oncology,1,1,1
Teórica I,2022,pharmacology,3,3,3
Teórica I,2022,refraction,6,8,12
Teórica I,2022,retina,1,1,1
Teórica II,2022,contact lenses,3,1,3
Teórica II,2022,cornea,6,3,9
Teórica II,2022,cornea/lens,1,1,1
Teórica II,2022,glaucoma,5,6,8
Teórica II,2022,glaucoma/uveitis,1,1,1
Teórica II,2022,lens/cataract,6,6,8
Teórica II,2022,low vision,0,1,1
Teórica II,2022,neuro-ophthalmology,4,5,7
Teórica II,2022,ocular plastic surgery,11,12,16
Teórica II,2022,oncology/ocular plastic surgery,1,1,3
Teórica II,2022,optics,0,0,1
Teórica II,2022,optics/refraction,0,1,1
Teórica II,2022,pharmacology,5,4,6
Teórica II,2022,pharmacology/glaucoma,1,1,1
Teórica II,2022,refraction,10,10,19
Teórica II,2022,refraction/low vision,0,0,2
Teórica II,2022,refractive surgery,2,2,2
Teórica II,2022,retina,9,9,11
Teórica II,2022,retina/oncology,1,1,1
Teórica II,2022,strabismus,5,5,11
Teórica II,2022,uveitis,3,3,8
