ID,year,test,theme,subtheme,portuguese,english,answer,responses_english_0,responses_english_1,responses_english_2,responses_english_3,responses_english_4,responses_english_5,responses_english_6,responses_english_7,responses_english_8,responses_english_9,responses_portuguese_0,responses_portuguese_1,responses_portuguese_2,responses_portuguese_3,responses_portuguese_4,responses_portuguese_5,responses_portuguese_6,responses_portuguese_7,responses_portuguese_8,responses_portuguese_9,responses_english,P-value_english,ratio_english,responses_portuguese,P-value_portuguese,ratio_portuguese
1,2022,Teórica I,Anatomia,cornea,"Em qual região ocular células caliciformes são fisiologicamente encontradas?
a)Córnea.
b)Limbo corneoescleral.
c)Linha cinzenta.
d)Prega semilunar.","In which ocular region are caliciform cells physiologically found?
a) Cornea.
b) Corneoscleral limbus.
c) Gray line.
d) Semilunar fold.",d,b,b,b,b,b,b,b,b,b,b,b,a,b,a,a,a,a,a,c,a,b,5.133013955782584e-05,1.0,a,0.043989589915272576,0.7
2,2022,Teórica I,Anatomia,retina,"Assinale a alternativa que melhor correlaciona as características histológicas com os respectivos tecidos oculares:

I. Monocamada de células fortemente unidas por complexos juncionais.
II. Estriações paralelas e regulares observadas à microscopia óptica, perpendiculares ao epitélio.
III. Contém células bipolares, células amácrinas, células horizontais e células de Muller.
IV. Contém células magnocelulares, parvocelulares e coniocelulares.

A. Fotorreceptores.
B. Epitélio pigmentado da pigmentado da retina.
C. Camada ganglionar retiniana.
D. Camada nuclear interna.","Mark the alternative that best correlates the histological characteristics with the respective ocular tissues:

I. Monolayer of cells tightly joined together by junctional complexes.
II. Parallel and regular striations observed under optical microscopy, perpendicular to the epithelium.
III. It contains bipolar cells, amacrine cells, horizontal cells and Muller cells.
IV. It contains magnocellular, parvocellular and coniocellular cells.

A. Photoreceptors.
B. Retinal pigmented epithelium.
C. Retinal ganglionic layer.
D. Inner nuclear layer.",b,b,b,b,b,b,b,b,b,b,b,a,b,a,b,b,b,b,b,b,b,b,5.133013955782584e-05,1.0,b,0.007048336371561326,0.8
3,2022,Teórica I,Anatomia,cornea,"Ordene as três denominações celulares encontradas no epitélio da córnea, iniciando pelo mais superficial, seguido do intermediário e do profundo.
a)Plana, alada, basal.
b)Alada, basal, plana.
c)Basal, plana, alada.
d)Alada, plana, basal.","Order the three cell names found in the corneal epithelium, starting with the most superficial, followed by the intermediate and the deep.
a) Flat, wing, basal.
b) wing, basal, flat.
c) Basal, flat, wing.
d) wing, flat, basal.",a,c,c,c,c,c,c,c,c,c,c,b,a,a,b,b,b,b,b,c,b,c,5.133013955782584e-05,1.0,b,0.043989589915272576,0.7
4,2022,Teórica I,Anatomia,cornea,"Sobre a membrana de Descemet da córnea, é correto afirmar:
a)As células endoteliais não participam da sua formação.
b)Sua espessura no adulto é de cerca de 30 µm.
c)Sua porção mais anterior é de origem embrionária.
d)Sua espessura reduz-se com a idade.","Regarding Descemet's membrane of the cornea, it is correct to state:
a) Endothelial cells do not participate in its formation.
b) Its thickness in the adult is about 30 µm.
c) Its most anterior portion is of embryonic origin.
d) Its thickness reduces with age.",c,b,b,b,b,c,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,0.0007410104055591837,0.9,b,5.133013955782584e-05,1.0
5,2022,Teórica I,Anatomia,cornea,"Sobre a camada lipídica do filme lacrimal, assinale a alternativa correta. a)Tem por propósito básico estabilizar o filme e é secretada pelas glândulas de Meibomius e de Manz.  b)Ésteres de colesterol estão entre seus componentes e uma de suas funções é retardar a evaporação do filme lacrimal. c)Na disfunção das glândulas de Meibomius, o ponto de fusão de sua secreção diminui, colaborando para a estagnação dessas substâncias. d)Pode ser avaliada pelo tempo de ruptura do filme lacrimal, permanecendo intacta por menos de cinco segundos em olhos saudáveis.","About the lipidic layer of the lacrimal film, choose the right answer. a) its purpose is to stabilize the lacrimal film secreted by the meibomian and manz glans b) Cholesterol esters are within its components, and one of the functions is to delay the lacrimal film evaporation c) In meibomian gland dysfunction, the fusion point decrease, leading to stagnation d) can be evaluated by the lacrimal film break up time, keeping intact less than five seconds in healthy eyes.",b,b,b,b,b,b,b,b,b,b,b,b,b,a,c,b,b,b,a,b,b,b,5.133013955782584e-05,1.0,b,0.043989589915272576,0.7
6,2022,Teórica I,Anatomia,strabism,"Sobre os músculos oculares externos, assinale a alternativa correta.
a)Na lei de Hering, a inervação se distribui igualmente para os músculos agonista e antagonista, para determinada versão.
b)Os movimentos persecutórios se dão automaticamente, de maneira lenta, ao deslocamento do ponto de fixação.
c)Na lei de Sherrington, o estímulo de contração é distribuído entre os agonistas de ambos os olhos, para que ela ocorra simetricamente.
d)Os movimentos sacádicos são caracterizados por movimentos bruscos, descoordenados, de natureza totalmente reflexa.","Regarding the external ocular muscles, choose the correct answer. a) in the Hering's law, the innervation is equally distributed to the agosist and antagonist muscles, for a given ocular version. b) The persecutory movements will automatically occur, slowly, with the displacement of the fixation point c) In the sherrington's law, the contraction stimulus is distributed between the agonists of both eyes, so that it occur symmetrically. d) Saccadic movements are characterized by abrupq, uncoordinated, reflex movments.",b,a,a,a,a,a,a,a,a,a,a,c,c,c,c,c,c,c,c,c,c,a,5.133013955782584e-05,1.0,c,5.133013955782584e-05,1.0
7,2022,Teórica I,Anatomia,cornea,"Sobre a córnea, é correto afirmar:
a)A disposição das fibrilas de colágeno corneanas não tem relação com a sua transparência.
b)Pleomorfismo das células endoteliais é caracterizado pela variação do tamanho dessas células.
c)As células do estroma anterior possuem grande quantidade de mitocôndrias, responsáveis pela produção de energia que supre a bomba endotelial.
d)O endotélio comporta-se como uma barreira permeável não-seletiva entre o humor aquoso e a substância própria.","About the cornea, it is correct to state. a) The arrangement of corneal collagen fibrils is unrelated to its transparency. b) Pleomorphism of endothelial cells is characterized by the variation in the size of these cells. c) anterior stroma have a large number of mitochondria, responsible for the production of energy that supplies the endothelial pump. d) The endothelium behaves as a permeable non-selective barrier between the aqueous humor and the substantia propria.",d,d,d,a,d,a,a,d,d,d,d,a,c,c,c,a,a,c,a,a,a,d,0.043989589915272576,0.7,a,0.17926780368434936,0.6
8,2022,Teórica I,Anatomia,strabism,"Assinale a alternativa que preenche corretamente as lacunas. A levocicloversão corresponde a ____________ do olho direito e ________ do olho esquerdo e é desencadeada quando se inclina a cabeça para o ombro___________.
a)Exciclodução / inciclodução / esquerdo.
b)Inciclodução / exciclodução / esquerdo.
c)Exciclodução / inciclodução / direito.
d)Inciclodução / exciclodução / direito.","Choose the alternative that correctly fills in the gaps. Levocycloversion corresponds to ____________ of the right eye and ________ of the left eye and is triggered when the head is tilted towards the shoulder___________.
a) Excicloduction / incicloduction / left.
b) Incicloduction / excicloduction / left.
c) Excicloduction / incicloduction / law.
d) Incicloduction / excicloduction / right.",d,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,5.133013955782584e-05,1.0,b,0.0007410104055591837,0.9
9,2022,Teórica I,Anatomia,retina,"Com relação às células do corpo vítreo, assinale a alternativa correta.
a)São mais numerosos no adulto, comparativamente às do vítreo embrionário.
b)São representadas principalmente por linfócitos e neutrófilos maduros.
c)São abundantes na região da base vítrea.
d)Estão ausentes no recém-nascido.","Regarding the vitreous body cells, mark the correct alternative.
a) They are more numerous in the adult than in the embryonic vitreous.
b) They are mainly represented by lymphocytes and mature neutrophils.
c) They are abundant in the region of the vitreous base.
d) They are absent in the newborn.",c,b,b,b,b,b,b,b,b,b,b,b,b,c,b,c,b,c,c,c,c,b,5.133013955782584e-05,1.0,c,0.17926780368434936,0.6
10,2022,Teórica I,Anatomia,strabism,"Com relação à fisiologia dos músculos oculomotores, assinale a alternativa correta.
a)A contração muscular independe da disponibilidade de cálcio.
b)A fibra muscular é uma célula multinucleada.
c)Cada contração muscular é resultado de um ciclo único de formação e destruição de pontes de actina-miosina.
d)O relaxamento muscular depende principalmente da disponibilidade de sódio.","Regarding the physiology of the oculomotor muscles, mark the correct alternative.
a) Muscle contraction is independent of calcium availability.
b) The muscle fiber is a multinucleated cell.
c) Each muscle contraction is the result of a unique cycle of formation and destruction of actin-myosin bridges.
d) Muscle relaxation rely mainly on sodium availability.",b,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,5.133013955782584e-05,1.0,c,5.133013955782584e-05,1.0
