theme,match_portuguese,match_spanish,match_english,match_tagalog,Total,responses_portuguese (%),responses_spanish (%),responses_english (%),responses_tagalog (%)
anatomy,6,5,4,3,21,28.57,23.81,19.05,14.29
contact lenses,0,0,0,1,3,0.0,0.0,0.0,33.33
cornea,2,2,2,2,10,20.0,20.0,20.0,20.0
cornea/lens,0,1,1,1,1,0.0,100.0,100.0,100.0
embryology,1,1,1,1,2,50.0,50.0,50.0,50.0
genetics,0,0,0,0,2,0.0,0.0,0.0,0.0
glaucoma,1,1,3,3,9,11.11,11.11,33.33,33.33
glaucoma/uveitis,0,0,0,0,1,0.0,0.0,0.0,0.0
lens/cataract,6,4,3,4,8,75.0,50.0,37.5,50.0
low vision,1,1,1,1,1,100.0,100.0,100.0,100.0
neuro-ophthalmology,2,2,0,2,7,28.57,28.57,0.0,28.57
ocular plastic surgery,3,2,3,2,16,18.75,12.5,18.75,12.5
oncology,0,0,1,0,1,0.0,0.0,100.0,0.0
oncology/ocular plastic surgery,0,0,1,1,3,0.0,0.0,33.33,33.33
optics,1,1,0,0,1,100.0,100.0,0.0,0.0
optics/refraction,1,1,1,1,1,100.0,100.0,100.0,100.0
pharmacology,2,3,4,2,9,22.22,33.33,44.44,22.22
pharmacology/glaucoma,1,0,0,0,1,100.0,0.0,0.0,0.0
refraction,11,11,13,10,31,35.48,35.48,41.94,32.26
refraction/low vision,0,0,0,0,2,0.0,0.0,0.0,0.0
refractive surgery,1,1,1,2,2,50.0,50.0,50.0,100.0
retina,4,3,4,2,12,33.33,25.0,33.33,16.67
retina/oncology,0,0,0,0,1,0.0,0.0,0.0,0.0
strabismus,4,5,4,2,11,36.36,45.45,36.36,18.18
uveitis,1,2,2,2,8,12.5,25.0,25.0,25.0
