test,year,theme,match_portuguese,match_spanish,match_english,match_tagalog,Total
Teórica I,2022,anatomy,6,5,4,3,21
Teórica I,2022,cornea,1,1,1,0,1
Teórica I,2022,embryology,1,1,1,1,2
Teórica I,2022,genetics,0,0,0,0,2
Teórica I,2022,glaucoma,0,0,1,0,1
Teórica I,2022,oncology,0,0,1,0,1
Teórica I,2022,pharmacology,1,2,2,1,3
Teórica I,2022,refraction,2,3,4,4,12
Teórica I,2022,retina,1,0,0,0,1
Teórica II,2022,contact lenses,0,0,0,1,3
Teórica II,2022,cornea,1,1,1,2,9
Teórica II,2022,cornea/lens,0,1,1,1,1
Teórica II,2022,glaucoma,1,1,2,3,8
Teórica II,2022,glaucoma/uveitis,0,0,0,0,1
Teórica II,2022,lens/cataract,6,4,3,4,8
Teórica II,2022,low vision,1,1,1,1,1
Teórica II,2022,neuro-ophthalmology,2,2,0,2,7
Teórica II,2022,ocular plastic surgery,3,2,3,2,16
Teórica II,2022,oncology/ocular plastic surgery,0,0,1,1,3
Teórica II,2022,optics,1,1,0,0,1
Teórica II,2022,optics/refraction,1,1,1,1,1
Teórica II,2022,pharmacology,1,1,2,1,6
Teórica II,2022,pharmacology/glaucoma,1,0,0,0,1
Teórica II,2022,refraction,9,8,9,6,19
Teórica II,2022,refraction/low vision,0,0,0,0,2
Teórica II,2022,refractive surgery,1,1,1,2,2
Teórica II,2022,retina,3,3,4,2,11
Teórica II,2022,retina/oncology,0,0,0,0,1
Teórica II,2022,strabismus,4,5,4,2,11
Teórica II,2022,uveitis,1,2,2,2,8
