theme,match_spanish,match_tagalog,match_portuguese,match_english,Total,responses_spanish (%),responses_tagalog (%),responses_portuguese (%),responses_english (%)
anatomy,5,4,4,6,21,23.81,19.05,19.05,28.57
contact lenses,1,0,1,1,3,33.33,0.0,33.33,33.33
cornea,4,2,4,4,10,40.0,20.0,40.0,40.0
cornea/lens,1,1,1,1,1,100.0,100.0,100.0,100.0
embryology,1,1,1,1,2,50.0,50.0,50.0,50.0
genetics,0,0,0,1,2,0.0,0.0,0.0,50.0
glaucoma,3,2,2,3,9,33.33,22.22,22.22,33.33
glaucoma/uveitis,0,0,0,0,1,0.0,0.0,0.0,0.0
lens/cataract,5,3,5,3,8,62.5,37.5,62.5,37.5
low vision,1,1,1,1,1,100.0,100.0,100.0,100.0
neuro-ophthalmology,3,3,3,4,7,42.86,42.86,42.86,57.14
ocular plastic surgery,4,3,5,4,16,25.0,18.75,31.25,25.0
oncology,1,0,0,1,1,100.0,0.0,0.0,100.0
oncology/ocular plastic surgery,1,0,0,1,3,33.33,0.0,0.0,33.33
optics,0,0,0,0,1,0.0,0.0,0.0,0.0
optics/refraction,0,1,0,0,1,0.0,100.0,0.0,0.0
pharmacology,3,2,3,4,9,33.33,22.22,33.33,44.44
pharmacology/glaucoma,0,0,1,1,1,0.0,0.0,100.0,100.0
refraction,9,9,7,9,31,29.03,29.03,22.58,29.03
refraction/low vision,0,0,0,0,2,0.0,0.0,0.0,0.0
refractive surgery,1,1,1,1,2,50.0,50.0,50.0,50.0
retina,5,4,4,4,12,41.67,33.33,33.33,33.33
retina/oncology,0,0,0,0,1,0.0,0.0,0.0,0.0
strabismus,4,4,3,4,11,36.36,36.36,27.27,36.36
uveitis,2,2,3,1,8,25.0,25.0,37.5,12.5
