theme,match_portuguese,match_spanish,match_english,match_tagalog,Total,responses_portuguese (%),responses_spanish (%),responses_english (%),responses_tagalog (%)
anatomy,3,4,5,3,21,14.29,19.05,23.81,14.29
contact lenses,0,2,2,1,3,0.0,66.67,66.67,33.33
cornea,2,3,3,4,10,20.0,30.0,30.0,40.0
cornea/lens,1,1,1,1,1,100.0,100.0,100.0,100.0
embryology,1,0,1,0,2,50.0,0.0,50.0,0.0
genetics,1,1,2,1,2,50.0,50.0,100.0,50.0
glaucoma,1,2,3,3,9,11.11,22.22,33.33,33.33
glaucoma/uveitis,0,0,0,0,1,0.0,0.0,0.0,0.0
lens/cataract,4,4,2,3,8,50.0,50.0,25.0,37.5
low vision,0,0,0,0,1,0.0,0.0,0.0,0.0
neuro-ophthalmology,1,4,2,0,7,14.29,57.14,28.57,0.0
ocular plastic surgery,6,6,2,3,16,37.5,37.5,12.5,18.75
oncology,0,1,0,0,1,0.0,100.0,0.0,0.0
oncology/ocular plastic surgery,0,1,0,0,3,0.0,33.33,0.0,0.0
optics,1,0,0,0,1,100.0,0.0,0.0,0.0
optics/refraction,0,0,0,0,1,0.0,0.0,0.0,0.0
pharmacology,3,3,4,1,9,33.33,33.33,44.44,11.11
pharmacology/glaucoma,0,1,0,0,1,0.0,100.0,0.0,0.0
refraction,8,8,9,10,31,25.81,25.81,29.03,32.26
refraction/low vision,0,0,0,0,2,0.0,0.0,0.0,0.0
refractive surgery,1,1,1,1,2,50.0,50.0,50.0,50.0
retina,1,3,3,4,12,8.33,25.0,25.0,33.33
retina/oncology,1,1,0,0,1,100.0,100.0,0.0,0.0
strabismus,2,4,5,0,11,18.18,36.36,45.45,0.0
uveitis,2,1,2,2,8,25.0,12.5,25.0,25.0
