test,year,theme,match_portuguese,match_spanish,match_english,match_tagalog,Total
Teórica I,2022,anatomy,5,3,4,1,21
Teórica I,2022,cornea,1,1,1,1,1
Teórica I,2022,embryology,2,1,0,1,2
Teórica I,2022,genetics,1,2,1,1,2
Teórica I,2022,glaucoma,1,1,1,0,1
Teórica I,2022,oncology,0,1,0,0,1
Teórica I,2022,pharmacology,0,0,0,0,3
Teórica I,2022,refraction,3,3,4,3,12
Teórica I,2022,retina,0,0,0,0,1
Teórica II,2022,contact lenses,0,2,0,1,3
Teórica II,2022,cornea,1,2,1,2,9
Teórica II,2022,cornea/lens,0,1,1,1,1
Teórica II,2022,glaucoma,0,3,3,1,8
Teórica II,2022,glaucoma/uveitis,0,0,0,0,1
Teórica II,2022,lens/cataract,3,3,2,4,8
Teórica II,2022,low vision,0,0,0,0,1
Teórica II,2022,neuro-ophthalmology,2,1,3,1,7
Teórica II,2022,ocular plastic surgery,4,5,2,4,16
Teórica II,2022,oncology/ocular plastic surgery,0,1,1,0,3
Teórica II,2022,optics,1,0,1,0,1
Teórica II,2022,optics/refraction,0,0,0,0,1
Teórica II,2022,pharmacology,3,2,4,1,6
Teórica II,2022,pharmacology/glaucoma,1,1,1,1,1
Teórica II,2022,refraction,7,7,6,5,19
Teórica II,2022,refraction/low vision,0,0,0,0,2
Teórica II,2022,refractive surgery,1,2,0,1,2
Teórica II,2022,retina,1,2,2,1,11
Teórica II,2022,retina/oncology,1,1,0,1,1
Teórica II,2022,strabismus,3,5,3,5,11
Teórica II,2022,uveitis,1,2,2,2,8
