test,year,theme,match_spanish,match_tagalog,match_portuguese,match_english,Total
Teórica I,2022,anatomy,11,9,12,13,21
Teórica I,2022,cornea,1,1,0,1,1
Teórica I,2022,embryology,1,1,1,1,2
Teórica I,2022,genetics,2,2,2,2,2
Teórica I,2022,glaucoma,1,1,1,1,1
Teórica I,2022,oncology,1,0,1,1,1
Teórica I,2022,pharmacology,3,2,3,3,3
Teórica I,2022,refraction,5,5,5,5,12
Teórica I,2022,retina,1,1,1,1,1
Teórica II,2022,contact lenses,1,0,0,0,3
Teórica II,2022,cornea,3,3,3,3,9
Teórica II,2022,cornea/lens,1,1,1,1,1
Teórica II,2022,glaucoma,5,6,6,6,8
Teórica II,2022,glaucoma/uveitis,1,1,1,1,1
Teórica II,2022,lens/cataract,4,5,4,5,8
Teórica II,2022,low vision,1,1,0,1,1
Teórica II,2022,neuro-ophthalmology,3,4,5,3,7
Teórica II,2022,ocular plastic surgery,10,7,10,9,16
Teórica II,2022,oncology/ocular plastic surgery,2,1,3,3,3
Teórica II,2022,optics,0,1,0,0,1
Teórica II,2022,optics/refraction,1,1,1,1,1
Teórica II,2022,pharmacology,5,2,4,4,6
Teórica II,2022,pharmacology/glaucoma,1,1,0,1,1
Teórica II,2022,refraction,9,10,10,9,19
Teórica II,2022,refraction/low vision,0,0,0,0,2
Teórica II,2022,refractive surgery,1,1,2,2,2
Teórica II,2022,retina,7,7,6,9,11
Teórica II,2022,retina/oncology,0,1,0,0,1
Teórica II,2022,strabismus,7,4,4,6,11
Teórica II,2022,uveitis,5,2,5,4,8
