test,year,theme,match_spanish,match_tagalog,match_portuguese,match_english,Total
Teórica I,2022,anatomy,7,4,6,8,21
Teórica I,2022,cornea,0,0,1,1,1
Teórica I,2022,embryology,0,0,0,0,2
Teórica I,2022,genetics,0,1,1,0,2
Teórica I,2022,glaucoma,1,1,1,1,1
Teórica I,2022,oncology,1,1,1,1,1
Teórica I,2022,pharmacology,2,2,2,2,3
Teórica I,2022,refraction,7,4,6,5,12
Teórica I,2022,retina,1,0,0,0,1
Teórica II,2022,contact lenses,1,0,0,1,3
Teórica II,2022,cornea,3,1,3,5,9
Teórica II,2022,cornea/lens,1,1,1,1,1
Teórica II,2022,glaucoma,2,3,3,2,8
Teórica II,2022,glaucoma/uveitis,0,0,1,0,1
Teórica II,2022,lens/cataract,4,2,5,5,8
Teórica II,2022,low vision,0,0,0,1,1
Teórica II,2022,neuro-ophthalmology,3,2,4,3,7
Teórica II,2022,ocular plastic surgery,7,8,6,8,16
Teórica II,2022,oncology/ocular plastic surgery,1,0,1,1,3
Teórica II,2022,optics,1,0,0,0,1
Teórica II,2022,optics/refraction,0,0,0,1,1
Teórica II,2022,pharmacology,3,3,3,2,6
Teórica II,2022,pharmacology/glaucoma,0,1,1,0,1
Teórica II,2022,refraction,10,10,10,12,19
Teórica II,2022,refraction/low vision,0,0,0,0,2
Teórica II,2022,refractive surgery,2,1,2,2,2
Teórica II,2022,retina,7,6,6,8,11
Teórica II,2022,retina/oncology,0,0,0,0,1
Teórica II,2022,strabismus,6,4,6,5,11
Teórica II,2022,uveitis,3,3,3,4,8
