theme,match_spanish,match_tagalog,match_portuguese,match_english,Total,responses_spanish (%),responses_tagalog (%),responses_portuguese (%),responses_english (%)
anatomy,7,6,4,8,21,33.33,28.57,19.05,38.1
contact lenses,0,0,0,1,3,0.0,0.0,0.0,33.33
cornea,1,1,3,4,10,10.0,10.0,30.0,40.0
cornea/lens,1,1,1,1,1,100.0,100.0,100.0,100.0
embryology,0,0,0,0,2,0.0,0.0,0.0,0.0
genetics,0,1,1,0,2,0.0,50.0,50.0,0.0
glaucoma,4,5,5,4,9,44.44,55.56,55.56,44.44
glaucoma/uveitis,0,0,0,0,1,0.0,0.0,0.0,0.0
lens/cataract,3,1,5,5,8,37.5,12.5,62.5,62.5
low vision,0,0,1,0,1,0.0,0.0,100.0,0.0
neuro-ophthalmology,2,2,1,3,7,28.57,28.57,14.29,42.86
ocular plastic surgery,8,7,4,8,16,50.0,43.75,25.0,50.0
oncology,1,1,1,1,1,100.0,100.0,100.0,100.0
oncology/ocular plastic surgery,1,0,1,1,3,33.33,0.0,33.33,33.33
optics,0,0,0,0,1,0.0,0.0,0.0,0.0
optics/refraction,0,0,1,1,1,0.0,0.0,100.0,100.0
pharmacology,4,3,4,5,9,44.44,33.33,44.44,55.56
pharmacology/glaucoma,1,1,1,1,1,100.0,100.0,100.0,100.0
refraction,15,16,16,14,31,48.39,51.61,51.61,45.16
refraction/low vision,0,0,0,0,2,0.0,0.0,0.0,0.0
refractive surgery,2,1,2,2,2,100.0,50.0,100.0,100.0
retina,6,4,6,8,12,50.0,33.33,50.0,66.67
retina/oncology,0,0,0,0,1,0.0,0.0,0.0,0.0
strabismus,5,4,3,6,11,45.45,36.36,27.27,54.55
uveitis,2,3,4,4,8,25.0,37.5,50.0,50.0
