theme,match_spanish,match_tagalog,match_portuguese,match_english,Total,responses_spanish (%),responses_tagalog (%),responses_portuguese (%),responses_english (%)
anatomy,16,13,14,15,21,76.19,61.9,66.67,71.43
contact lenses,3,1,2,1,3,100.0,33.33,66.67,33.33
cornea,4,2,4,4,10,40.0,20.0,40.0,40.0
cornea/lens,1,1,1,1,1,100.0,100.0,100.0,100.0
embryology,1,1,1,1,2,50.0,50.0,50.0,50.0
genetics,2,2,2,2,2,100.0,100.0,100.0,100.0
glaucoma,7,9,7,7,9,77.78,100.0,77.78,77.78
glaucoma/uveitis,1,1,1,1,1,100.0,100.0,100.0,100.0
lens/cataract,5,6,6,7,8,62.5,75.0,75.0,87.5
low vision,1,1,1,0,1,100.0,100.0,100.0,0.0
neuro-ophthalmology,5,5,5,5,7,71.43,71.43,71.43,71.43
ocular plastic surgery,13,12,12,12,16,81.25,75.0,75.0,75.0
oncology,1,1,1,1,1,100.0,100.0,100.0,100.0
oncology/ocular plastic surgery,3,2,3,3,3,100.0,66.67,100.0,100.0
optics,1,1,1,1,1,100.0,100.0,100.0,100.0
optics/refraction,1,1,1,1,1,100.0,100.0,100.0,100.0
pharmacology,8,8,8,8,9,88.89,88.89,88.89,88.89
pharmacology/glaucoma,1,1,1,1,1,100.0,100.0,100.0,100.0
refraction,19,17,19,17,31,61.29,54.84,61.29,54.84
refraction/low vision,1,1,1,1,2,50.0,50.0,50.0,50.0
refractive surgery,2,2,2,2,2,100.0,100.0,100.0,100.0
retina,11,9,11,10,12,91.67,75.0,91.67,83.33
retina/oncology,1,1,1,1,1,100.0,100.0,100.0,100.0
strabismus,8,6,8,8,11,72.73,54.55,72.73,72.73
uveitis,5,5,5,5,8,62.5,62.5,62.5,62.5
