test,year,theme,match_spanish,match_tagalog,match_portuguese,match_english,Total
Teórica I,2022,anatomy,16,13,14,15,21
Teórica I,2022,cornea,1,0,1,1,1
Teórica I,2022,embryology,1,1,1,1,2
Teórica I,2022,genetics,2,2,2,2,2
Teórica I,2022,glaucoma,1,1,1,1,1
Teórica I,2022,oncology,1,1,1,1,1
Teórica I,2022,pharmacology,3,3,3,3,3
Teórica I,2022,refraction,7,8,9,7,12
Teórica I,2022,retina,1,0,1,1,1
Teórica II,2022,contact lenses,3,1,2,1,3
Teórica II,2022,cornea,3,2,3,3,9
Teórica II,2022,cornea/lens,1,1,1,1,1
Teórica II,2022,glaucoma,6,8,6,6,8
Teórica II,2022,glaucoma/uveitis,1,1,1,1,1
Teórica II,2022,lens/cataract,5,6,6,7,8
Teórica II,2022,low vision,1,1,1,0,1
Teórica II,2022,neuro-ophthalmology,5,5,5,5,7
Teórica II,2022,ocular plastic surgery,13,12,12,12,16
Teórica II,2022,oncology/ocular plastic surgery,3,2,3,3,3
Teórica II,2022,optics,1,1,1,1,1
Teórica II,2022,optics/refraction,1,1,1,1,1
Teórica II,2022,pharmacology,5,5,5,5,6
Teórica II,2022,pharmacology/glaucoma,1,1,1,1,1
Teórica II,2022,refraction,12,9,10,10,19
Teórica II,2022,refraction/low vision,1,1,1,1,2
Teórica II,2022,refractive surgery,2,2,2,2,2
Teórica II,2022,retina,10,9,10,9,11
Teórica II,2022,retina/oncology,1,1,1,1,1
Teórica II,2022,strabismus,8,6,8,8,11
Teórica II,2022,uveitis,5,5,5,5,8
