test,year,theme,match_spanish,match_tagalog,match_portuguese,match_english,Total
Teórica I,2022,anatomy,8,7,5,5,21
Teórica I,2022,cornea,0,1,0,0,1
Teórica I,2022,embryology,0,0,0,0,2
Teórica I,2022,genetics,0,1,1,1,2
Teórica I,2022,glaucoma,1,1,1,1,1
Teórica I,2022,oncology,1,1,1,1,1
Teórica I,2022,pharmacology,2,1,3,2,3
Teórica I,2022,refraction,8,4,5,3,12
Teórica I,2022,retina,0,0,0,0,1
Teórica II,2022,contact lenses,1,1,0,1,3
Teórica II,2022,cornea,2,1,4,1,9
Teórica II,2022,cornea/lens,0,1,1,1,1
Teórica II,2022,glaucoma,2,3,3,3,8
Teórica II,2022,glaucoma/uveitis,0,0,0,0,1
Teórica II,2022,lens/cataract,3,1,3,4,8
Teórica II,2022,low vision,0,0,0,1,1
Teórica II,2022,neuro-ophthalmology,3,3,3,2,7
Teórica II,2022,ocular plastic surgery,4,6,6,5,16
Teórica II,2022,oncology/ocular plastic surgery,0,0,0,2,3
Teórica II,2022,optics,0,0,0,0,1
Teórica II,2022,optics/refraction,0,0,0,0,1
Teórica II,2022,pharmacology,3,2,2,3,6
Teórica II,2022,pharmacology/glaucoma,1,1,1,1,1
Teórica II,2022,refraction,6,5,8,4,19
Teórica II,2022,refraction/low vision,0,0,0,1,2
Teórica II,2022,refractive surgery,2,2,2,1,2
Teórica II,2022,retina,7,6,6,4,11
Teórica II,2022,retina/oncology,1,1,1,1,1
Teórica II,2022,strabismus,4,4,4,4,11
Teórica II,2022,uveitis,3,5,4,3,8
