test,year,theme,match_spanish,match_tagalog,match_portuguese,match_english,Total
Teórica I,2022,anatomy,10,7,6,4,21
Teórica I,2022,cornea,0,0,0,0,1
Teórica I,2022,embryology,1,0,1,1,2
Teórica I,2022,genetics,0,0,1,1,2
Teórica I,2022,glaucoma,1,1,1,1,1
Teórica I,2022,oncology,1,1,0,1,1
Teórica I,2022,pharmacology,0,3,1,3,3
Teórica I,2022,refraction,7,4,8,6,12
Teórica I,2022,retina,0,0,0,0,1
Teórica II,2022,contact lenses,2,3,2,1,3
Teórica II,2022,cornea,2,3,4,5,9
Teórica II,2022,cornea/lens,1,1,0,1,1
Teórica II,2022,glaucoma,4,2,3,4,8
Teórica II,2022,glaucoma/uveitis,0,0,0,0,1
Teórica II,2022,lens/cataract,1,0,3,4,8
Teórica II,2022,low vision,0,0,0,0,1
Teórica II,2022,neuro-ophthalmology,3,2,3,3,7
Teórica II,2022,ocular plastic surgery,5,6,7,6,16
Teórica II,2022,oncology/ocular plastic surgery,1,0,0,2,3
Teórica II,2022,optics,0,1,0,0,1
Teórica II,2022,optics/refraction,0,0,0,0,1
Teórica II,2022,pharmacology,3,3,3,3,6
Teórica II,2022,pharmacology/glaucoma,1,1,1,1,1
Teórica II,2022,refraction,11,7,8,4,19
Teórica II,2022,refraction/low vision,0,0,1,1,2
Teórica II,2022,refractive surgery,1,2,2,2,2
Teórica II,2022,retina,6,4,7,6,11
Teórica II,2022,retina/oncology,1,1,1,1,1
Teórica II,2022,strabismus,3,4,4,3,11
Teórica II,2022,uveitis,3,2,2,4,8
